Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-21.967506	12.331172	-2.9384735	-33.791695	100.0	217.22223	0.6364367	0.48584276	1.7045385	0.035545364	2000	0.008964155	444.06894	-0.02953997	-264.29944	1.3496615	0.010215587	0.3535	79.0	27.97969341278076
1	-18.8651	10.919364	-0.12004023	-30.68535	100.0	244.625	-3.490877	6.082506	5.1830716	-31.359041	4000	0.00051969074	289.04056	-0.022977881	-157.8752	1.3537065	-0.017194772	0.233	79.0	57.301498889923096
2	-20.068356	8.626102	-5.649793	-35.76818	100.0	164.63637	-15.254855	6.502788	-5.2468424	-35.37181	6000	-1.4305114e-08	124.26843	-0.01278357	-77.148865	1.3562703	0.01543452	0.1145	26.0	90.38440704345703
3	-16.829378	9.487077	-3.6468093	-38.395985	100.0	136.78572	-17.542267	3.815369	-10.07287	-30.518898	8000	0.0026299348	129.97513	-0.018143404	-44.78138	1.3526657	0.015825037	0.212	17.0	121.45820999145508
4	-20.613705	8.437147	-7.500913	-32.86775	100.0	96.7	-16.726671	2.6588972	-7.4706445	-22.49606	10000	-5.9604646e-09	70.90808	-0.016230337	-19.789051	1.3340105	0.009129267	0.109	79.0	162.00760793685913
5	-18.604477	8.1608715	-7.558454	-33.335796	100.0	92.57143	-21.296158	2.206991	-11.711357	-29.120804	12000	0.0015255923	67.10532	-0.01704814	-14.375771	1.3087285	0.015145591	0.236	25.0	200.374418258667
6	-16.300632	7.350747	-6.176311	-31.32249	100.0	96.2	-16.612822	2.6995394	-9.844527	-22.08629	14000	-3.5762786e-09	51.6069	-0.022034504	-19.252975	1.3298943	0.012975458	0.2005	79.0	242.8073751926422
7	-14.682428	7.137865	2.030199	-29.69161	100.0	93.61905	-13.564388	4.495682	-1.9543343	-25.8201	16000	0.0050642965	45.451538	-0.027392842	-10.154804	1.3028198	0.009902135	0.188	79.0	281.9075644016266
8	-16.59958	8.069515	1.224959	-31.96412	100.0	93.333336	-13.486625	3.1636348	-3.4005466	-22.02169	18000	4.2915342e-09	74.904335	-0.017604971	-23.164902	1.2907888	0.014344747	0.154	79.0	320.8759548664093
9	-12.211162	6.7596307	4.97384	-26.106588	96.0	82.25	-16.338825	1.8946505	-7.418314	-20.78465	20000	-1.4305114e-08	65.98005	-0.018933266	-23.279438	1.267646	0.012704018	0.155	79.0	349.705575466156
10	-13.512124	4.126503	-4.2220597	-20.873186	100.0	76.44	-11.783289	1.6363572	-7.097508	-17.612776	22000	1.9311905e-08	15.788631	-0.01625054	-2.7253828	1.2113608	0.010344696	0.1145	79.0	378.6764726638794
11	-10.887072	3.8296704	-4.706425	-20.804363	100.0	72.37037	-12.830973	1.6450571	-8.453346	-17.750488	24000	3.218651e-08	21.263863	-0.023272445	-7.9135733	1.1822575	0.008518452	0.2285	79.0	406.6405749320984
12	-9.394838	4.81689	-2.2161813	-20.29958	100.0	71.18519	-10.396598	1.1491446	-7.818127	-14.35327	26000	-5.722046e-09	22.755077	-0.018562503	-2.4226208	1.1423988	0.011631802	0.125	79.0	434.7864730358124
13	-7.1273766	2.777881	-3.5718567	-13.541917	100.0	72.81481	-8.979578	1.057374	-5.7592545	-12.451792	28000	-5.9604646e-09	12.680338	-0.016772581	-5.959439	1.0807927	0.0150449015	0.1295	74.0	473.73892855644226
14	-7.9674745	3.0593677	-3.715406	-15.874431	100.0	68.82758	-6.6973124	1.0372036	-4.2870955	-10.957134	30000	6.3180923e-09	10.7021	-0.017633708	-3.7569594	0.9909654	0.015069538	0.117	53.0	512.1169176101685
15	-6.356242	2.6369302	-2.3654618	-13.169183	100.0	68.965515	-7.8279862	1.4140229	-3.2705534	-11.64273	32000	2.4318695e-08	10.521947	-0.006461941	-3.7062058	0.9834447	0.017953321	0.234	6.0	550.5386507511139
16	-10.380585	4.1810026	-3.9749937	-19.145824	100.0	70.25	-6.1056795	0.85601366	-3.399752	-10.041854	34000	5.2452087e-09	33.750023	-0.008296907	-19.218714	1.0073165	0.017610552	0.1715	6.0	578.139365196228
17	-7.6219587	3.6967235	-2.7810564	-16.999006	100.0	69.32143	-9.610234	1.4285225	-6.610344	-14.080243	36000	-2.193451e-08	14.683429	-0.0055652857	-6.9671392	0.98053944	0.015352918	0.2095	3.0	616.4236090183258
18	-9.943737	6.1846876	-2.4419575	-29.794762	100.0	67.655174	-7.016078	2.036022	-3.5829747	-13.207711	38000	8.3446505e-10	41.786583	-0.008814717	-12.070265	0.9402317	0.019716667	0.1845	6.0	654.7692816257477
