Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-13.84099	12.447601	-3.2411182	-37.639145	100.0	192.0	0.79018867	0.7925008	3.6113868	0.09598556	1000	0.07764373	89.626	-0.068250805	-85.72934	1.293973	0.015436905	0.181	18.0	36.73501706123352
1	-20.967735	14.792006	-7.180118	-43.09454	100.0	229.0	-5.760536	3.4860306	-2.0712333	-13.125559	2000	-0.008972891	22.418882	0.0	-18.417805	1.3155404	0.036155026	0.055	0.0	98.0400722026825
2	-14.049087	8.67676	-5.226934	-25.370386	100.0	186.5	-5.549626	2.5715458	-1.6337703	-14.492932	3000	0.0005665039	11.066501	0.0	-4.945074	1.2310207	0.02544993	0.019	0.0	159.62290453910828
3	-9.386355	3.898624	-5.0577	-15.6501045	100.0	169.6	-6.725375	4.6850657	-2.393336	-22.583233	4000	0.011974873	14.12828	-0.0150943175	-13.271099	1.3418963	0.015156197	0.092	18.0	218.62318539619446
4	-12.800852	13.259826	-2.4983516	-38.5792	100.0	194.8	-4.2526026	3.8975537	0.71114	-15.0695	5000	3.695488e-09	20.006374	-0.013087506	-17.920073	1.1198982	0.017515972	0.026	6.0	281.9957618713379
5	-8.512017	5.999738	-1.0413374	-20.245821	100.0	146.5	-3.5503278	2.0813468	-1.7837976	-11.493254	6000	0.0017444899	7.2801886	-0.0068079	-4.9718313	1.3507648	0.015961742	0.045	11.0	342.68611431121826
6	-6.4323034	4.3662443	1.101658	-12.701882	100.0	126.28571	-3.4464755	1.8296597	2.5544443	-7.8448176	7000	0.0006928252	7.5156736	-0.013968358	-3.562321	1.3206573	0.016675457	0.064	8.0	400.1772496700287
7	-10.867199	10.661306	-0.7096041	-24.023369	100.0	199.8	-4.7557483	2.742792	-1.5143518	-13.267849	8000	0.015131386	6.831861	0.0	-5.1963086	1.3372186	0.04388496	0.054	0.0	464.16991686820984
8	-7.127707	5.962779	0.31726956	-15.435871	100.0	140.14285	-3.1442807	1.9618415	-1.217525	-9.667661	9000	-0.0010968175	6.896013	-0.0138982525	-4.14513	1.3477792	0.01594148	0.19	21.0	497.12025213241577
9	-24.045357	26.316298	-3.5331464	-61.194923	100.0	231.33333	-9.341965	8.710493	-1.7932217	-31.918459	10000	0.049753573	55.5799	0.0	-52.686012	1.2471068	0.03291091	0.055	0.0	560.3509061336517
10	-11.147747	9.25209	-4.661275	-31.186544	85.71428571428571	165.0	-4.7185254	3.2596953	-0.95685047	-14.725117	11000	0.0037283597	12.798709	0.0	-11.970176	1.3461957	0.025137756	0.041	0.0	627.8157160282135
11	-21.006264	4.594296	-16.717512	-27.377493	100.0	217.66667	-7.390043	5.5979695	-1.837733	-28.407526	12000	0.044493973	10.137915	-0.028330183	-9.510652	1.2205181	0.011081955	0.236	79.0	701.8185713291168
12	-7.3198905	5.169801	-1.2790219	-15.842335	100.0	144.0	-4.7551417	2.706641	-1.7477751	-13.689319	13000	1.26361845e-08	3.2736797	-0.026458498	-2.1156144	1.3374424	0.009394935	0.124	79.0	777.4632253646851
13	-10.748672	9.905591	-2.2942517	-29.01855	100.0	165.83333	-5.2096043	2.9815218	-1.5717306	-12.606269	14000	-0.008708086	7.3885403	0.0	-4.4225345	1.3338559	0.08191118	0.066	0.0	838.8700318336487
14	-19.011845	12.299838	-1.6523408	-28.648005	100.0	266.0	-4.3520274	4.27083	2.3452487	-16.867933	15000	0.008344745	30.554348	0.0	-29.788055	1.1173971	0.047001053	0.045	0.0	900.2376408576965
15	-6.1654963	3.09734	-1.7216196	-11.198006	100.0	137.83333	-4.212875	3.365384	-1.2199275	-17.411642	16000	0.012005664	5.7315907	-0.028513266	-4.9942737	1.3434274	0.014323045	0.163	79.0	959.2561061382294
16	-6.103864	3.0792856	-1.021051	-10.354594	100.0	152.33333	-3.4700336	1.7100407	-1.58537	-7.382184	17000	-9.536744e-10	1.6009115	-0.020915966	-1.1311207	1.3360579	0.015815943	0.107	13.0	1017.9616129398346
17	-7.1716485	7.528852	0.16075853	-22.50899	100.0	163.5	-2.5864937	1.1488816	-1.0669378	-5.2418704	18000	0.040103182	10.465858	-0.04333015	-7.737752	1.3365941	0.017495228	0.095	10.0	1075.9692132472992
18	-3.894001	2.2123518	-0.70682865	-6.819251	85.71428571428571	161.0	-2.9532735	1.8120552	-0.121693365	-10.746241	19000	3.695488e-09	3.451403	-0.017857362	-2.8404686	1.338364	0.0150157735	0.264	19.0	1107.4339349269867
19	-3.3504047	5.6376834	5.098584	-12.951155	100.0	164.0	-2.0782259	1.2195259	0.2371648	-6.0944605	20000	-0.0047239996	6.793021	0.0	-4.3565984	1.2901022	0.01528464	0.015	0.0	1168.437786102295
20	-3.253653	3.3403172	1.5203289	-8.984071	100.0	123.0	-1.3834792	1.6128566	0.5780427	-10.000035	21000	0.0060288017	1.9153569	-0.011566323	-1.2772025	1.3173867	0.015981693	0.073	10.0	1225.561737537384
21	-2.6685574	4.4999466	6.8935394	-7.538297	100.0	133.85715	-2.0276423	1.3868859	1.587105	-6.0372443	22000	-2.4676323e-08	5.383646	-0.016567409	-3.7960932	1.3088449	0.018163819	0.074	8.0	1282.945177078247
22	1.5058452	4.0603213	11.0993595	-2.3687723	100.0	124.75	0.2637087	2.073683	5.804384	-3.6807451	23000	-1.8835069e-08	5.4349747	-0.02385613	-3.662692	1.3143456	0.015145243	0.122	70.0	1340.968032360077
23	1.5447224	4.111471	7.4038577	-5.4230404	100.0	164.33333	0.5157991	1.4373893	4.920431	-2.6008015	24000	-1.9073487e-09	2.0132208	-0.017304882	-1.1626781	1.2958829	0.016123693	0.051	19.0	1398.3286519050598
24	2.8692565	2.423169	6.2722764	-1.7226357	100.0	112.375	0.8436082	1.7382969	7.18822	-1.7495453	25000	8.8214875e-09	2.6077964	-0.02772642	-2.1044817	1.2943152	0.013987627	0.243	79.0	1455.435762643814
25	5.1049557	2.6825268	9.143305	0.48344347	88.88888888888889	119.75	2.3159816	1.2060024	6.3917384	0.427037	26000	1.7881394e-08	2.572328	-0.010858214	-2.0752068	1.2756914	0.0151884	0.137	26.0	1512.6106760501862
26	4.090782	3.8661475	9.748328	-2.0235915	100.0	90.55556	3.5599275	2.5391493	10.32724	-0.5350427	27000	0.011263862	9.82842	0.0	-7.3741465	1.1715976	0.033491593	0.04	0.0	1569.9679265022278
27	2.1653636	4.9274898	8.46054	-11.062375	100.0	90.36364	3.1111221	1.7049625	8.753775	0.49275675	28000	0.0029098697	8.083727	0.0	-2.8467937	1.1596032	0.042726725	0.042	0.0	1626.2818987369537
28	6.7526493	3.0407145	12.101855	2.414366	100.0	103.55556	2.7166603	2.9246426	10.374627	-2.3094969	29000	-0.0018491811	5.9432764	0.0	-4.9308443	1.2021118	0.0431239	0.031	0.0	1684.1430068016052
29	5.593955	3.8635378	11.128862	-1.3358701	90.0	102.55556	3.9758866	1.6046671	9.046809	1.194404	30000	0.020662658	3.8276978	0.0	-1.9228264	1.2013247	0.024692558	0.029	0.0	1741.1501092910767
30	7.079648	2.9669194	11.780897	2.1837869	100.0	103.888885	4.1847944	2.3945398	11.313779	-1.0296764	31000	2.1457671e-09	1.8349065	-0.023445055	-1.2439156	1.2410159	0.008304119	0.142	79.0	1798.7714653015137
31	7.3857193	4.1095195	11.402146	-2.5946174	81.81818181818183	97.7	4.9881635	2.771855	14.638887	0.459705	32000	0.0045064576	5.0413847	0.0	-2.1085055	1.2016004	0.0206195	0.015	0.0	1855.7033534049988
32	3.497631	6.46508	10.431956	-7.151171	100.0	106.333336	4.719669	2.437397	10.819011	1.2955706	33000	0.004594014	14.833631	0.0	-9.45633	1.2158347	0.05416203	0.054	0.0	1886.5848948955536
33	2.6532762	3.877426	9.08537	-2.8072083	100.0	127.42857	3.040875	2.984044	11.046827	-3.2852914	34000	0.004344012	16.815607	0.0	-11.074461	1.1935034	0.052644506	0.046	0.0	1920.0129754543304
34	6.68255	3.0552125	10.707141	1.6434401	81.81818181818183	97.3	2.1454487	1.5584564	6.158598	-3.4341745	35000	-0.0027097913	10.095012	0.0	-7.9862223	1.1744897	0.050970584	0.034	0.0	1978.1154174804688
35	7.3385615	2.386616	10.445281	3.4602787	91.66666666666666	90.454544	4.747156	1.6431288	9.119729	1.1123155	36000	0.0019192973	1.408494	-0.007179442	-0.7907756	1.2240386	0.015403677	0.041	18.0	2037.5995135307312
36	8.289768	2.607622	11.740744	4.157829	90.0	110.333336	5.301479	1.9715925	11.072917	2.4265587	37000	-5.722046e-09	1.9218485	-0.012197139	-1.2847052	1.2492307	0.015547308	0.156	20.0	2095.3375692367554
37	2.79968	6.8651223	11.719068	-10.078964	81.81818181818183	92.2	3.9827266	1.655882	10.224537	1.4941941	38000	0.006355944	17.540308	0.0	-8.63415	1.0931838	0.12385688	0.082	0.0	2126.064337015152
38	4.8008776	3.2815528	9.143133	-1.6991844	100.0	86.181816	2.4714744	2.8460367	11.353625	-4.2830257	39000	-0.0060862787	8.203233	0.0	-5.3249645	1.13269	0.10183137	0.053	0.0	2183.460836172104
39	3.113283	7.2870383	10.458956	-8.264473	91.66666666666666	85.181816	2.994245	2.167784	10.377335	-0.8056412	40000	0.0010189944	15.834691	0.0	-10.483877	1.1210442	0.07149974	0.053	0.0	2213.8772082328796
40	5.049806	4.047403	10.414105	-2.1748197	91.66666666666666	86.818184	3.7098672	3.5201244	12.271592	-4.709011	41000	0.009957659	3.5960863	0.0	-2.6235902	1.1500522	0.07043642	0.051	0.0	2244.4361577033997
41	6.1931996	2.6651864	10.875609	2.7601953	100.0	85.63636	3.7766476	2.5366986	12.92347	-4.0566053	42000	-0.00037115574	1.8939106	0.0	-0.8269547	1.164566	0.04666648	0.023	0.0	2274.868649959564
42	6.0284195	2.9603703	9.496225	-1.8103654	91.66666666666666	84.36364	3.8630693	2.1978562	9.818846	-3.307553	43000	0.00047664167	6.302077	0.0	-3.727709	1.1739439	0.03725788	0.032	0.0	2305.320088863373
43	7.289786	2.93936	12.120742	2.6430705	84.61538461538461	83.25	4.3487773	2.6055136	14.291929	0.34579158	44000	0.0016790829	2.7781007	0.0	-1.8177509	1.1681619	0.029832456	0.018	0.0	2362.0592143535614
44	8.40008	2.3486145	11.790624	4.0652003	90.9090909090909	93.4	5.620543	2.1283677	11.925766	2.412661	45000	0.002346012	0.95255965	-0.020131271	-0.24039733	1.1962571	0.01589411	0.105	9.0	2418.611474275589
45	8.874033	1.7336478	11.254115	5.1363597	91.66666666666666	85.0	5.9089212	2.2194226	11.712513	2.320873	46000	-0.0037908948	0.8884297	0.0	-0.54840004	1.1199881	0.079111926	0.03	0.0	2475.2333755493164
46	6.0587597	5.444987	11.71214	-8.148793	83.33333333333334	82.90909	5.3757544	2.282565	11.586956	0.07918079	47000	0.005313839	8.658233	0.0	-4.1629214	1.0972768	0.08716742	0.052	0.0	2531.3536014556885
47	5.317548	6.4396725	11.456818	-11.296484	100.0	82.166664	4.248439	3.4830494	12.556445	-5.0537467	48000	0.0025623443	12.184703	0.0	-6.1145234	1.1045972	0.073080935	0.045	0.0	2588.9709343910217
48	3.9725246	7.4014716	10.874193	-9.156759	100.0	80.416664	4.504445	3.1507413	11.149512	-1.6218066	49000	-0.0012542374	18.905352	0.0	-10.4731245	1.1215912	0.09389528	0.086	0.0	2645.013547897339
49	7.2949433	3.021429	10.208274	-0.70378935	91.66666666666666	84.72727	3.4723604	3.3925142	13.773764	-4.932766	50000	-0.001581003	8.411435	0.0	-7.21277	1.121357	0.070397675	0.034	0.0	2702.595027923584
50	4.977471	4.568303	10.504344	-5.336232	100.0	82.25	5.0591364	2.3222737	11.975352	0.5255902	51000	0.02139746	7.2051287	0.0	-3.960893	1.0688801	0.10260705	0.074	0.0	2760.4096355438232
51	2.0079606	8.4051485	11.984266	-14.150085	91.66666666666666	88.09091	3.8196523	2.7656813	11.510834	-1.991172	52000	0.017359275	20.583902	0.0	-14.425261	1.0532198	0.13758294	0.103	0.0	2816.3533442020416
52	4.5197673	5.599354	11.454306	-8.434843	83.33333333333334	83.36364	3.5520113	4.2142015	14.47247	-6.807932	53000	0.012770861	8.493426	0.0	-5.020545	1.0980022	0.09170561	0.081	0.0	2874.3469817638397
53	5.5668054	2.8800776	10.818667	0.80869395	92.3076923076923	80.916664	2.8315597	4.088272	13.757225	-6.013061	54000	0.0008652474	9.688686	0.0	-8.299485	1.0857385	0.0707621	0.057	0.0	2905.821294784546
54	4.7022195	6.219473	13.653659	-9.607385	91.66666666666666	83.72727	4.6092625	2.2724135	10.381202	-0.19235477	55000	0.006675684	7.5074434	0.0	-3.2044058	1.1070789	0.08216275	0.066	0.0	2936.4237298965454
55	4.4644184	5.049713	11.377436	-5.8644986	83.33333333333334	80.72727	4.5701985	3.4477098	13.796428	-3.1487508	56000	0.013953262	5.108274	0.0	-3.2335918	1.1206607	0.06094902	0.072	0.0	2966.837176799774
56	4.7446103	5.596994	9.834974	-9.24314	84.61538461538461	79.666664	2.8569415	3.1257226	9.584998	-6.942247	57000	0.01702783	6.876567	0.0	-2.4988437	1.0799905	0.081778385	0.053	0.0	2997.0203325748444
57	4.0596533	7.933761	10.088299	-18.201794	92.3076923076923	82.666664	3.7050035	2.8844182	11.037273	-2.811825	58000	0.04677327	17.072596	0.0	-11.8716345	1.0591437	0.13522086	0.08	0.0	3054.539211988449
58	4.381938	3.787851	8.094831	-3.7853606	100.0	84.63636	3.51577	2.0296931	10.114459	-4.413232	59000	-0.008846788	8.870138	0.0	-5.6599293	1.0883347	0.14654869	0.074	0.0	3085.2705686092377
59	5.937157	4.963473	11.440327	-5.1316047	92.3076923076923	81.5	2.8700202	3.2964952	12.923058	-5.243257	60000	-0.0057072924	11.808512	0.0	-8.596151	1.1054155	0.062104974	0.052	0.0	3115.758680343628
60	6.7104163	4.1195498	10.2368555	-2.7708383	92.3076923076923	80.666664	4.9207997	2.2525342	10.988805	-0.0049212724	61000	0.009443689	6.6256394	0.0	-4.1370487	1.1098166	0.050246116	0.034	0.0	3172.355251312256
61	4.235443	5.780505	11.803757	-7.249781	75.0	87.09091	3.4596703	2.9097607	10.798321	-4.8184376	62000	0.007848157	9.046334	0.0	-4.733053	1.0734843	0.11025515	0.067	0.0	3229.137993812561
62	6.874178	3.3891878	10.776856	-0.3865422	100.0	80.545456	3.7875175	2.5518374	12.041039	-2.980034	63000	-0.00084346486	5.1867003	0.0	-3.3901453	1.085969	0.10787587	0.057	0.0	3286.1430249214172
63	4.539141	6.6508083	10.7499	-13.618692	91.66666666666666	84.90909	4.48883	2.4328573	13.081205	-1.619215	64000	-0.0031069056	9.785561	0.0	-4.984325	1.0758241	0.10565272	0.062	0.0	3342.8981969356537
64	3.7687337	6.417525	11.210175	-10.928478	84.61538461538461	80.833336	2.7233489	4.5162296	14.564603	-8.163749	65000	0.027217446	11.82834	0.0	-5.62869	1.0649116	0.09671554	0.071	0.0	3399.506061553955
65	3.1822798	6.253581	10.39933	-7.279903	91.66666666666666	85.0	2.73775	3.9763699	11.678677	-9.200613	66000	0.0061017456	7.8893914	0.0	-4.4050093	1.0522326	0.14029385	0.077	0.0	3457.313958644867
66	3.2911928	8.597101	11.443647	-17.121569	91.66666666666666	84.818184	3.430664	3.7548907	10.585795	-8.517869	67000	0.020946171	18.970179	0.0	-15.926598	1.082948	0.09877532	0.064	0.0	3487.6254193782806
67	7.976844	3.0366611	11.545273	2.18481	72.72727272727273	95.2	5.0487466	3.0342426	11.143135	-7.243325	68000	0.0020290255	4.8226566	0.0	-3.6769142	1.1107177	0.0780902	0.036	0.0	3544.8832654953003
68	0.6268988	7.13995	9.353284	-10.546629	100.0	82.833336	4.0938907	1.9195129	10.770343	-0.24783128	69000	0.013331633	25.783321	0.0	-18.91602	1.0686337	0.1658224	0.101	0.0	3575.3897037506104
69	3.3868096	6.816165	10.762113	-6.5710764	92.3076923076923	82.5	3.173373	3.397076	13.1157255	-3.5417554	70000	-0.0018729019	7.69829	0.0	-4.3536005	1.0981766	0.1091697	0.082	0.0	3631.8899912834167
70	3.7763546	5.981261	10.136873	-8.205497	84.61538461538461	82.416664	0.77490306	5.122329	14.028646	-11.890753	71000	0.006480717	14.828541	0.0	-10.8775215	1.054349	0.15578043	0.087	0.0	3662.5659985542297
71	7.485591	3.3612244	10.939146	1.1394932	75.0	88.36364	4.7937207	2.8092794	12.564409	-1.7346705	72000	0.008710577	4.4704256	0.0	-3.2611666	1.1202767	0.061155807	0.03	0.0	3693.0964770317078
72	6.6837974	3.4344888	10.340998	-1.4594913	84.61538461538461	80.666664	4.4230037	2.2500625	11.673693	-0.014344618	73000	-0.0050312555	6.049131	0.0	-3.5763402	1.0870348	0.10814883	0.052	0.0	3750.3412384986877
73	5.7996492	6.378221	11.176217	-8.29526	63.63636363636363	89.7	5.321044	2.6122074	11.960325	-0.34089088	74000	-0.00014853071	9.543964	0.0	-2.8964581	1.1184415	0.0730421	0.042	0.0	3807.5994124412537
74	4.473953	6.4573135	10.539694	-9.530274	100.0	86.09091	3.9151685	2.8481019	11.755955	-4.3253903	75000	-0.0014167058	8.239672	0.0	-5.2723584	1.1148652	0.08529826	0.057	0.0	3864.140707731247
75	3.4197953	5.9562936	9.835347	-9.5098915	100.0	85.09091	1.6637781	2.9001257	10.33533	-6.3117824	76000	-0.005266588	19.468807	0.0	-14.408751	1.0629873	0.18611597	0.097	0.0	3921.343369960785
