Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-21.953278	15.720678	-3.9835098	-42.275055	100.0	235.33333	0.77643555	0.63963246	2.8371212	0.084529564	1000	0.016420877	117.901436	-0.02763445	-112.01594	1.349821	0.016286783	0.118	5.0	24.425267696380615
1	-14.54935	9.010772	-7.3390822	-29.680288	100.0	212.25	-6.6553836	4.65366	-2.0680397	-20.177994	2000	-0.0028055646	7.7428436	-0.015396515	-7.0712175	1.3430091	0.015949244	0.106	11.0	45.22550582885742
2	-8.164993	4.1658583	-3.9725688	-15.1149645	83.33333333333334	185.8	-4.628669	2.5661204	-1.8550173	-13.128224	3000	-0.00071492384	2.0829818	-0.015771786	-1.7180201	1.354539	0.015803216	0.129	15.0	65.62992882728577
3	-7.558458	4.9641895	-2.4970818	-16.664795	100.0	160.33333	-3.632958	2.4342592	-1.3985298	-13.0815115	4000	-6.9141386e-09	3.52399	-0.026442822	-2.3335671	1.3453692	0.0138944965	0.179	79.0	86.17781043052673
4	-10.396044	12.853842	-2.7744765	-38.89374	85.71428571428571	166.16667	-4.6648946	3.1705854	-1.3382622	-12.946656	5000	-0.011378137	16.10358	0.0	-13.799311	1.2845364	0.01949568	0.021	0.0	106.9663233757019
5	-2.7433522	0.9339106	-1.1679033	-4.049087	100.0	113.166664	-3.0591533	2.504263	-0.032576755	-16.027653	6000	-0.000749213	1.3054012	-0.025412377	-1.0633225	1.2880688	0.015202945	0.215	27.0	127.14901781082153
6	-3.4123888	2.365123	0.37845132	-6.4916143	100.0	105.75	-1.8461038	0.98502475	0.66083527	-5.139202	7000	-0.0021199593	1.8679556	-0.004149444	-1.2384757	1.3300822	0.015353845	0.007	4.0	145.91441440582275
7	-8.630204	12.892061	4.25043	-24.50352	100.0	194.2	-3.7070928	3.1304603	1.0006427	-11.915298	8000	-0.011848734	20.026522	0.0	-15.423997	1.2927889	0.016560405	0.018	0.0	167.07622003555298
8	-2.2984462	3.525516	3.9112945	-7.889421	100.0	124.0	-2.3193414	2.8089852	4.9176745	-9.669173	9000	1.5735626e-08	10.239161	-0.034563035	-8.810828	1.2934945	0.011024715	0.261	79.0	186.47982096672058
9	-0.7153575	4.977119	4.76784	-6.3937654	100.0	199.0	-0.8236409	1.3365934	0.9452899	-6.1160097	10000	-1.001358e-08	2.8379433	-0.012132432	-1.9959856	1.293427	0.015801983	0.098	18.0	206.95862698554993
10	0.17903244	1.892827	3.2567875	-2.7032743	100.0	115.5	0.7321302	1.5548743	5.086255	-1.6808367	11000	2.2292138e-08	2.5014813	-0.017484538	-1.9274837	1.2564873	0.016369687	0.205	11.0	225.95483994483948
11	-2.409235	2.785329	0.99377084	-5.939149	100.0	185.8	-0.081571534	1.5422676	5.2366424	-3.3614085	12000	-0.0020233835	2.3959417	-0.0250636	-2.1590872	1.2331926	0.015059801	0.133	72.0	246.65250372886658
12	-1.4477317	7.3487525	5.5875344	-15.668995	100.0	150.2	-0.8100301	0.99030286	1.029973	-3.2187808	13000	0.045350008	13.366695	-0.018216873	-7.0943456	1.2637186	0.01811794	0.074	5.0	270.25008940696716
13	-0.27640727	5.128589	7.1050377	-7.2430396	100.0	128.14285	-0.061587494	1.3331585	3.5040488	-3.5076737	14000	0.013585998	4.7833924	0.0005828403	-3.29818	1.3116465	0.016518475	0.023	4.0	292.70431780815125
14	-2.4480174	8.388267	4.3323617	-24.045942	100.0	123.125	-0.093388766	2.6995072	8.710317	-12.672821	15000	0.030674856	19.839157	0.0	-4.4370527	1.280832	0.032913093	0.022	0.0	312.5966799259186
15	-0.55355996	0.95967156	0.81099117	-1.876379	100.0	127.5	-1.0630064	1.8793545	3.6867404	-7.792205	16000	1.1920929e-08	2.2450213	-0.014789564	-2.0723681	1.3149717	0.016296927	0.321	11.0	336.1942710876465
16	2.4138658	2.3756952	5.603951	-1.2074478	100.0	130.71428	0.2966505	0.7652907	2.8921676	-2.7996588	17000	0.006889273	2.6127648	-0.016061386	-1.8585056	1.2993625	0.015448598	0.403	13.0	360.8073992729187
17	2.5499897	4.2591186	8.126475	-7.593892	100.0	115.0	1.5971954	1.0321581	5.161484	0.10416539	18000	-0.004499528	6.554265	0.0	-1.6077204	1.2546345	0.033267535	0.018	0.0	387.10841155052185
18	0.21354479	7.13446	6.75808	-18.933477	100.0	110.0	1.7892565	1.1196433	8.300554	-0.021364346	19000	-0.011030996	17.32574	0.0	-9.15784	1.2841419	0.03890039	0.025	0.0	413.2370796203613
19	3.646904	3.5791237	8.201768	-0.32990822	100.0	110.875	0.12868719	2.3180635	4.1708956	-8.001957	20000	0.0037672974	9.252698	-0.004686757	-8.313761	1.2717237	0.015514106	0.008	5.0	438.2375297546387
20	6.1912646	3.6836467	11.609857	1.7092053	87.5	142.57143	2.4153545	1.6771448	6.6302795	-0.32181817	21000	-7.1525574e-10	4.471121	-0.015977819	-2.7988648	1.2812594	0.015244445	0.165	28.0	463.92135739326477
21	0.88340795	6.174556	7.52048	-13.173775	100.0	89.5	2.8607628	1.6397156	8.761487	-0.069785446	22000	-0.016453354	17.039309	0.0	-10.266598	1.2092595	0.045489836	0.03	0.0	487.5037784576416
22	3.522899	5.505107	10.612001	-9.879814	90.9090909090909	93.7	0.8919112	2.469144	9.133036	-4.641985	23000	-0.00355636	15.347403	0.0	-10.0786915	1.2439983	0.020404352	0.028	0.0	511.02873253822327
23	4.4350204	1.7676706	8.301457	2.0497804	100.0	99.3	2.3665967	2.1369371	9.618735	-2.5045118	24000	-0.00056715606	5.0103936	-0.018173296	-3.9850302	1.2199874	0.015007513	0.062	42.0	535.1509766578674
24	4.0879245	3.4766285	8.396077	-3.0276232	91.66666666666666	87.27273	3.286902	1.7685947	7.9397254	-0.928275	25000	-0.0015645623	3.3488567	-0.0025358396	-2.2524824	1.1882412	0.015421982	0.017	4.0	558.9984760284424
25	3.3421829	4.1128635	8.9010935	-5.6181083	100.0	85.27273	3.3508072	1.6968342	8.175427	0.72857165	26000	-0.006360856	5.9543667	0.0	-3.3493142	1.206846	0.016842863	0.02	0.0	582.3847179412842
26	3.667881	4.6618776	10.489597	-7.43962	100.0	93.0	1.5874536	2.69232	9.811121	-4.6008472	27000	0.005253169	8.322269	0.0	-5.069331	1.1835616	0.024954585	0.022	0.0	608.2192966938019
27	6.026845	3.346556	9.125537	-1.7482555	100.0	92.2	4.133872	2.4712923	12.353121	0.45298952	28000	-0.0013256824	3.3607695	-0.016229026	-1.490886	1.2100521	0.015709208	0.135	18.0	633.9344732761383
28	5.8377748	3.9972591	10.775	-1.6812625	91.66666666666666	90.72727	3.1183846	2.600402	10.619844	-4.5035815	29000	0.009641895	3.6350806	-0.021809366	-2.4660244	1.2210624	0.010987503	0.114	79.0	658.6079611778259
29	6.1177125	3.3039749	11.097943	-1.3675799	90.9090909090909	96.4	4.6306734	2.122813	11.546489	1.1462772	30000	-0.0054157656	3.9228704	-0.01246568	-2.3148122	1.1837324	0.015247385	0.104	11.0	682.6784279346466
30	3.0578625	5.5362134	9.646437	-7.12843	100.0	131.71428	3.8063107	1.971401	10.0326	-4.129661	31000	-0.006774112	11.1680565	0.0	-7.1733212	1.2383335	0.023608739	0.018	0.0	707.4637317657471
31	6.2884426	3.174193	11.633775	2.3481863	100.0	121.375	2.1504345	3.19463	13.909424	-2.9561298	32000	2.3841857e-09	5.8764114	-0.025448015	-5.461963	1.228125	0.004049953	0.158	79.0	732.7949142456055
32	2.301041	3.2128296	8.783643	-0.54384524	100.0	128.57143	2.0641952	1.767349	9.443118	-2.4147017	33000	-0.00021981072	3.515062	-0.017610481	-2.148868	1.2645938	0.015345066	0.048	14.0	758.67192029953
33	5.608263	2.491363	10.771502	3.3412254	100.0	105.75	2.4148955	1.8132148	8.247013	-0.56714845	34000	0.0005092311	2.3315487	-0.03044265	-1.5785751	1.2552315	0.013016947	0.307	79.0	783.0935773849487
34	6.0830517	4.295389	11.040882	-4.3593125	90.0	108.666664	3.8195539	1.8791312	8.794054	0.6926496	35000	-0.0067706993	4.8155565	0.0	-3.666884	1.2276218	0.01533111	0.011	0.0	807.2040078639984
35	5.954378	3.8801577	10.732609	-2.538301	100.0	109.666664	3.6550014	3.165579	13.410603	-5.1551547	36000	-0.0049355174	6.133868	-0.024503728	-4.7706313	1.2414329	0.01370784	0.143	79.0	831.9193172454834
36	6.5164804	3.6467416	10.487845	0.9826441	90.9090909090909	97.6	4.3011565	1.9338133	10.285937	0.03335996	37000	-0.00204181	3.2404912	0.0	-1.8447567	1.1905766	0.019905707	0.021	0.0	855.7689054012299
37	8.013461	3.0892253	10.813385	0.82791424	100.0	103.111115	5.1278415	2.788336	11.972284	-0.7362137	38000	0.0014067774	1.8488362	-0.007997403	-1.3764222	1.1990638	0.015515043	0.046	18.0	880.378511428833
38	6.484268	2.1016114	9.140908	3.2187786	100.0	98.3	4.2995243	1.8424748	12.02098	0.083394155	39000	0.00088035205	3.3542557	-0.02235922	-2.8071556	1.2036455	0.015206306	0.224	25.0	904.5218482017517
39	7.1478868	3.5633657	10.577403	-2.4562418	76.92307692307693	78.666664	4.376217	2.1854239	12.450867	1.1538497	40000	-0.004281979	4.273923	-0.013754131	-1.7332106	1.1338288	0.015177721	0.131	17.0	928.1081132888794
40	5.234778	7.845381	12.020527	-14.55719	84.61538461538461	78.5	5.826536	2.0264356	10.57793	2.5128183	41000	-0.008006576	20.716309	0.0	-14.187315	1.1061006	0.036253285	0.036	0.0	951.0098838806152
41	8.129813	3.0186439	11.061163	1.3367662	84.61538461538461	82.916664	5.6230307	2.5846503	12.760897	-1.3527148	42000	0.0013967139	3.49868	-0.008146638	-2.1332707	1.1258495	0.016010692	0.051	12.0	974.7812330722809
42	6.4216986	5.935102	11.352465	-12.178408	71.42857142857143	73.15385	5.5104785	2.3209822	11.857309	0.557354	43000	-0.0036431816	9.760305	0.0	-2.6202226	1.0749018	0.020717768	0.03	0.0	998.0545978546143
43	5.3086743	6.585119	10.5727215	-9.86294	71.42857142857143	73.84615	4.8147345	2.1901522	11.937183	-3.4621484	44000	-0.0066325543	11.45766	0.0	-6.436043	1.0843742	0.027587475	0.032	0.0	1021.5231533050537
44	7.8627605	5.96432	11.599046	-11.279159	76.92307692307693	77.5	5.101679	3.5241358	13.884394	-3.5424364	45000	0.0018501068	10.4633665	-0.012255225	-7.4909563	1.079415	0.0151418485	0.082	15.0	1044.922956943512
45	8.268313	4.2751536	11.654916	-4.0808887	57.14285714285714	72.69231	5.780429	2.8456767	13.061331	-0.27396128	46000	-0.0054252893	5.1412334	-0.0034877146	-4.211389	1.0510482	0.01522846	0.014	4.0	1067.9822797775269
46	5.405667	6.528337	11.840511	-6.202685	85.71428571428571	75.38461	5.562306	2.7302926	12.680447	-3.1961408	47000	-0.01008264	21.862637	0.0	-15.972544	1.0355122	0.03463974	0.042	0.0	1091.4627258777618
47	4.44135	8.449742	10.755177	-16.150906	85.71428571428571	72.38461	3.3546236	3.6330419	12.505449	-6.2735386	48000	-0.012449679	27.340958	0.0	-18.046387	1.0316713	0.044210233	0.05	0.0	1114.7701036930084
48	5.6860943	5.3034816	11.346378	-4.176847	57.14285714285714	71.61539	4.6964984	3.1328483	12.549891	-6.729266	49000	-0.0069223186	15.4300375	0.0	-9.717725	1.0503416	0.021603547	0.039	0.0	1138.2669320106506
49	8.623979	2.742164	11.59905	1.0895758	78.57142857142857	76.53846	5.316884	3.2337646	12.394192	-2.9170866	50000	-0.0024646684	5.1480427	-0.017302936	-4.2431927	1.0503972	0.016208408	0.118	7.0	1161.9037001132965
50	9.122076	3.8716993	13.160515	-2.3204799	75.0	82.545456	6.7016554	2.6885517	13.351588	1.4163675	51000	-0.0063317977	4.378661	-0.010755863	-2.2542222	1.0899816	0.01690949	0.07	5.0	1189.2791011333466
51	10.40639	1.4736898	12.993202	7.477351	90.9090909090909	90.0	6.9568515	2.3551872	12.224122	2.4634287	52000	-1.513958e-08	1.9524775	-0.017868085	-1.2962489	1.1396966	0.0151555985	0.209	28.0	1213.183072090149
52	9.072331	3.0673156	11.553994	-0.7211493	92.85714285714286	75.76923	6.2933936	2.092515	12.618102	2.5624661	53000	-0.007907126	2.9743767	-0.012466887	-2.2191362	1.0430303	0.01618303	0.053	11.0	1237.2503023147583
53	10.048873	1.1909703	11.796678	7.8960695	76.92307692307693	78.416664	6.7495294	2.0235083	11.957978	2.1086788	54000	3.695488e-09	1.3451388	-0.017229743	-1.0238035	1.022635	0.01505223	0.2	31.0	1260.6961855888367
54	10.190719	1.8022572	12.810244	6.6744037	61.53846153846154	82.583336	7.1635137	1.8218237	11.703082	3.8413475	55000	-2.861023e-09	0.66087145	-0.027146557	-0.24695551	1.0492036	0.00998255	0.169	79.0	1284.7527770996094
55	10.836546	1.2468104	12.828499	8.612878	78.57142857142857	76.84615	7.2035203	2.1426754	12.896821	3.2300098	56000	8.106232e-09	0.90410423	-0.021104004	-0.7856112	1.0083047	0.011830393	0.12	79.0	1308.5090527534485
56	10.520215	1.2531328	13.043126	8.603595	61.53846153846154	78.833336	7.627382	2.0327404	12.456664	4.297015	57000	2.3841857e-09	0.32755047	-0.014114995	-0.140701	0.99329674	0.01616243	0.138	10.0	1331.849393606186
57	9.89315	1.4316995	10.915182	5.227969	84.61538461538461	79.583336	7.4142814	1.7703122	11.424106	4.1567326	58000	-0.0011461894	4.387626	-0.016279045	-2.2532625	0.97036886	0.003067862	0.117	79.0	1355.7146723270416
58	8.00756	6.476107	12.259688	-14.386886	73.33333333333333	68.21429	6.6156387	1.5025029	9.92747	4.267796	59000	-0.012673985	15.555852	0.0	-8.049097	0.9031827	0.06573533	0.024	0.0	1379.0657649040222
59	10.16802	1.5121112	12.331867	5.643566	57.14285714285714	72.15385	7.4276104	1.8364577	11.884996	2.5142105	60000	-0.003811203	1.4789851	-0.011834737	-0.69862556	0.9372934	0.015179883	0.122	21.0	1402.4731278419495
60	11.290074	0.8541796	12.365139	9.642773	42.857142857142854	73.30769	7.6022463	1.9231203	12.414904	3.258891	61000	2.0503998e-08	0.43085054	-0.021854466	-0.29442	0.9302726	0.010334191	0.178	79.0	1425.9815418720245
61	10.643806	1.9479523	12.887992	5.5749984	53.84615384615385	82.5	7.9882035	1.7770064	12.234897	4.654907	62000	-2.5272369e-08	5.5166955	-0.016247563	-2.6291778	0.93454385	0.015865853	0.215	9.0	1449.7575504779816
62	11.860545	0.7889602	13.204338	10.612399	42.857142857142854	74.69231	7.64304	2.1479065	12.722018	4.4179416	63000	3.4809112e-08	0.8150054	-0.0073679187	-0.654089	0.9011908	0.017821781	0.174	6.0	1473.0048089027405
63	9.9775305	2.7938664	11.817824	0.25657952	53.333333333333336	66.57143	8.237744	2.0033798	13.362633	4.9713464	64000	-0.0071086753	3.906005	-0.010383619	-1.3238697	0.8340952	0.015574162	0.024	8.0	1496.2565298080444
64	10.879893	1.1150223	13.048465	8.794381	53.333333333333336	69.21429	7.5940943	1.8560734	12.075196	4.635299	65000	1.4305114e-08	0.61543214	-0.0072656823	-0.44872054	0.838628	0.015700225	0.162	6.0	1519.469800710678
65	11.498501	1.1831136	13.579398	9.392978	42.857142857142854	73.53846	8.100202	1.7744921	12.528391	5.0320563	66000	-8.8214875e-09	0.2798004	-0.024863606	-0.12855864	0.85910964	0.013423458	0.154	79.0	1542.796752691269
66	11.958812	0.7687619	13.381541	10.681712	71.42857142857143	73.92308	8.397452	2.004119	12.840423	5.085244	67000	4.7683715e-09	0.19759172	-0.021134427	-0.090702005	0.8340284	0.0076111383	0.1	79.0	1566.2281353473663
67	12.307724	0.8989521	13.492408	10.815907	38.46153846153847	81.416664	8.611288	1.9505838	12.983717	5.1541996	68000	1.0967255e-08	0.77075034	-0.008389083	-0.50599015	0.8675213	0.01622181	0.102	7.0	1592.453628540039
68	11.865901	0.88208497	13.247959	10.220602	21.428571428571427	72.69231	8.208959	2.0316556	13.814584	4.866159	69000	-4.768372e-10	0.3508011	-0.016976768	-0.24643567	0.806208	0.00087494403	0.074	79.0	1616.3620746135712
69	11.928539	0.94464236	13.762046	10.176307	50.0	74.61539	8.303767	1.9815902	13.281278	5.149169	70000	2.4795533e-08	0.16457118	-0.015888933	-0.076035336	0.7637256	0.015387949	0.118	20.0	1639.7776327133179
70	12.051168	0.99112123	13.380049	10.101015	42.857142857142854	73.38461	8.55755	1.9847589	13.485863	5.3075595	71000	-2.9802323e-09	0.089396864	-0.0217752	-0.037030756	0.76145506	0.011473765	0.138	79.0	1663.3462128639221
71	12.051829	1.0922235	13.497479	9.125357	42.857142857142854	72.38461	8.720977	2.0543666	13.4721155	5.457726	72000	-9.775162e-09	0.16418523	-0.020058485	-0.04054802	0.71392703	0.012924205	0.108	79.0	1686.9735581874847
72	11.865514	1.2210778	13.596981	8.916105	57.14285714285714	71.53846	8.647153	1.9616362	13.197159	5.5648913	73000	-0.00074896694	0.17356192	-0.020174716	-0.08159278	0.70704925	0.0150179975	0.098	55.0	1710.7089982032776
73	12.020327	0.5422543	12.860212	11.006892	40.0	69.92857	8.512745	1.9219006	13.236281	5.2699027	74000	1.0490417e-08	0.14807647	-0.023123574	-0.09661358	0.68702906	0.009025291	0.086	79.0	1734.396419763565
74	12.820022	0.501362	13.739511	11.994071	35.714285714285715	74.53846	9.021804	2.048398	13.387528	5.573784	75000	-4.529953e-09	0.09225106	-0.005476816	-0.015236035	0.721258	0.0157097	0.138	8.0	1757.979320049286
75	11.559399	0.60042506	12.649123	10.767816	25.0	66.26667	8.760809	1.8873943	13.381544	5.6451597	76000	-5.5551528e-08	0.12027536	-0.018848613	-0.07341855	0.6365746	0.011733149	0.122	79.0	1781.507479429245
76	10.334426	5.265111	13.046136	-9.251883	31.25	66.26667	8.532986	1.7768332	12.939566	5.5556183	77000	-0.015206497	9.721661	0.0	-7.945941	0.6088907	0.076078504	0.017	0.0	1805.1699323654175
77	11.671586	1.0818033	13.064818	9.388293	33.33333333333333	68.14286	7.3376284	4.2081027	13.106469	-4.1077275	78000	0.003345267	11.028437	-0.0042883074	-10.950559	0.636758	0.015280965	0.1	7.0	1828.575387954712
78	11.541364	0.9029268	13.016269	9.63057	12.5	65.066666	8.6403265	1.7824858	13.118258	5.727944	79000	-6.6757204e-09	0.10809131	-0.01933835	-0.043870993	0.5730021	0.0069340533	0.096	79.0	1852.0924332141876
79	11.648776	0.618274	12.939417	10.698705	12.5	66.066666	8.640627	1.79132	13.034423	5.5984826	80000	-7.629395e-09	0.08113014	-0.021481514	-0.036656957	0.6080898	0.0073990403	0.109	79.0	1875.7145612239838
80	11.898954	0.8258595	13.07494	10.552174	20.0	68.07143	8.713497	1.8998413	13.004091	5.1237197	81000	1.9311905e-08	0.09507794	-0.0074514938	-0.045255978	0.585901	0.015632486	0.152	9.0	1899.0697937011719
81	12.584401	0.71645576	13.5044	11.220586	42.857142857142854	76.0	9.0788555	2.0410428	13.1325655	5.727763	82000	-3.7431718e-08	0.28950357	-0.011788155	-0.09519425	0.6719677	0.015973348	0.17	8.0	1922.5842146873474
82	12.269369	0.49143404	13.011937	11.414651	13.333333333333334	68.35714	8.689383	1.9346353	13.451794	5.279669	83000	-2.8967857e-08	0.12147417	-0.016289597	-0.087198064	0.58816785	0.0017298781	0.075	79.0	1946.0082032680511
