Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-9.587198	7.26633	-4.9831057	-24.083588	100.0	185.4	0.50535583	0.38213694	2.0341725	0.090281114	1000	0.00021664142	37.738674	-0.022668645	-33.25498	1.3605692	0.015234215	0.102	11.0	58.445720911026
1	-4.2189245	3.4883547	1.9275038	-8.291735	100.0	177.2	-3.696138	1.4023954	-1.7482822	-7.8645153	2000	5.3644182e-09	4.617402	-0.02410752	-3.3990133	1.2992703	0.010885661	0.129	79.0	100.974613904953
2	-1.8614944	3.0754268	2.952347	-7.302876	85.71428571428571	155.16667	-2.173027	0.7877435	0.2248165	-4.457305	3000	1.192093e-10	4.6828303	-0.016989982	-3.9258938	1.327087	0.015050559	0.102	29.0	176.87673020362854
3	-4.6455417	6.1782618	0.021556433	-18.155098	100.0	137.0	-1.6236314	1.2247021	-0.4374455	-6.270157	4000	0.004690617	9.777588	-0.026327768	-3.1840553	1.347332	0.0078061973	0.108	79.0	243.93279600143433
4	-9.6566105	9.923689	1.7414216	-25.520468	100.0	209.75	-2.7076566	2.019176	-0.6116998	-7.1487284	5000	0.0147861475	8.88442	0.0	-7.7423043	1.3000939	0.029657772	0.031	0.0	318.6779887676239
5	-1.2251706	7.7699885	7.79903	-13.626371	100.0	222.0	-3.3852715	1.757684	0.98890555	-8.825064	6000	3.1352045e-08	12.403442	-0.02524276	-8.88028	1.3192539	0.0051938896	0.139	79.0	411.8872652053833
6	-1.340207	0.70869017	-0.44112548	-2.6411142	100.0	139.28572	0.07563391	2.0909607	10.947252	-5.888297	7000	2.336502e-08	4.286065	-0.019673131	-4.165844	1.3207817	0.009368988	0.214	79.0	486.59627056121826
7	0.49258816	2.9469607	6.6610765	-3.728201	88.88888888888889	121.125	-0.23243357	0.9504702	1.8770089	-4.639359	8000	1.2874604e-08	1.9508518	-0.02142946	-1.3884887	1.309108	0.007313198	0.102	79.0	559.6622626781464
8	1.4335518	4.4189487	8.663881	-3.197999	100.0	119.125	0.6422753	2.0735946	8.477034	-3.39277	9000	-0.006577452	3.478402	0.0	-2.7384675	1.2471942	0.027043587	0.02	0.0	634.4740891456604
9	0.6221079	3.1830704	4.5824537	-4.615416	85.71428571428571	161.83333	2.4168057	3.4760156	11.310362	-2.231746	10000	-0.0016440841	9.025075	0.0	-8.4255295	1.2269182	0.01585275	0.016	0.0	713.7533340454102
10	0.00861723	3.4998605	7.0719094	-3.9514074	85.71428571428571	163.16667	0.17481957	1.4167107	5.5441422	-3.568324	11000	1.5497208e-09	2.2291064	-0.024179786	-1.7297983	1.2894874	0.008360169	0.191	79.0	788.921642780304
11	2.5928915	3.3580053	8.117367	-2.1034548	100.0	137.71428	0.5422515	1.6685078	6.5442586	-2.252689	12000	-0.0022783165	2.013517	-0.0062992964	-1.2125524	1.261636	0.015095353	0.01	3.0	863.7271859645844
12	2.5985215	1.8235065	5.864927	-0.20172709	100.0	106.625	1.1675266	1.4096916	5.7021217	-2.164412	13000	-1.1920929e-08	2.1151142	-0.028043212	-1.7387279	1.3073363	0.014228078	0.172	79.0	938.4237308502197
13	3.1543822	2.976595	9.620022	-1.6058344	88.88888888888889	123.125	1.9780535	1.5152854	8.365348	-0.2942116	14000	-0.009797108	2.7649674	0.0	-1.843194	1.2330104	0.05213399	0.023	0.0	1011.1530528068542
14	3.532583	2.5910068	7.3143835	-0.325771	100.0	112.25	1.5940764	1.4881856	8.301557	-1.2773432	15000	-0.000103897335	1.2900475	0.0	-1.1128643	1.245048	0.018059803	0.022	0.0	1083.8323595523834
15	5.2549567	2.99663	10.2772	1.2451895	100.0	110.44444	2.7918236	1.9028318	9.396554	-0.04539679	16000	-0.0021973497	3.926482	0.0	-2.9395285	1.2521037	0.017764552	0.014	0.0	1157.9708993434906
16	4.14144	2.5662816	8.730803	0.78112245	100.0	119.14286	3.1931922	1.9008151	8.204915	-0.54285693	17000	-0.00051512336	2.4875386	0.0	-1.7614686	1.2634835	0.04316303	0.024	0.0	1230.2279107570648
17	2.80921	2.6987767	5.256347	-3.104875	100.0	122.75	2.5010424	1.4490563	7.77195	-0.45484334	18000	-0.0072757006	3.536903	0.0	-1.7803836	1.2537487	0.019011043	0.029	0.0	1270.0248501300812
18	2.9612086	2.6114204	6.825705	-2.0429442	100.0	94.0	1.0083808	1.1421456	7.008399	-1.14479	19000	0.018787634	3.6797621	0.0	-2.7614012	1.2227424	0.0736055	0.057	0.0	1309.7527992725372
19	1.5497041	2.3270946	4.702903	-3.1782465	100.0	106.77778	1.3503934	1.0560896	6.5616927	-0.9526968	20000	-0.0075015347	1.9720495	0.0	-0.8537842	1.2414647	0.032957144	0.02	0.0	1349.7658379077911
20	1.8363073	2.8709226	7.759432	-3.4704065	100.0	106.44444	1.2821308	1.0368826	6.5824275	-0.0016589016	21000	-0.0027172966	2.7455986	-0.011884744	-1.7799529	1.2400658	0.0182025	0.14	11.0	1389.3852427005768
21	3.037396	2.7790046	8.517435	-0.73575246	100.0	129.42857	1.5529088	1.3852271	8.039941	-0.60267824	22000	0.007750826	3.3019495	0.0	-1.9607731	1.2068596	0.04227488	0.021	0.0	1431.4923334121704
22	4.0429096	4.5858407	9.972553	-5.1757936	100.0	103.111115	1.7655294	1.7384696	7.0117006	-1.3842683	23000	0.020910405	5.7466135	0.0	-3.419706	1.2112081	0.088625595	0.054	0.0	1483.431227684021
23	4.064326	3.3734446	9.248586	-1.3564324	90.9090909090909	99.9	1.76342	2.0394297	9.075968	-1.1284629	24000	0.021284666	3.1999004	0.0	-1.8253059	1.1797744	0.060618136	0.041	0.0	1526.4845077991486
24	2.7815473	2.167952	5.9124765	-1.1727568	91.66666666666666	87.72727	3.458995	3.1696029	14.764796	-1.7183685	25000	0.008170249	8.150248	0.0	-7.393886	1.2059599	0.0440896	0.035	0.0	1567.006644487381
25	5.585832	1.8663485	8.596383	3.369975	100.0	136.85715	2.6339383	1.4561973	7.700991	0.21845302	26000	1.4305115e-09	1.2853037	-0.015953172	-0.91496575	1.2568581	0.017246488	0.272	8.0	1616.5479316711426
26	4.6619763	2.1299145	10.295918	1.5312665	100.0	89.72727	3.0075643	1.6607137	8.823163	0.8683122	27000	0.014083839	1.4728789	0.0	-0.47574162	1.1197461	0.026464129	0.048	0.0	1665.9551162719727
27	3.7665963	2.4446118	7.1073112	-1.2262692	100.0	88.1	3.0922148	1.4417846	8.267083	0.58390474	28000	0.0098704845	2.0860717	0.0	-0.7211021	1.1431521	0.061035205	0.046	0.0	1739.8840005397797
28	3.3136652	3.3397706	8.371829	-5.1858582	100.0	83.083336	2.872022	1.3976632	9.635709	0.85990506	29000	0.010938314	4.213742	0.0	-1.3137088	1.1451902	0.073563494	0.055	0.0	1813.379730463028
29	4.5006475	5.042857	11.917053	-5.593033	100.0	101.666664	2.875403	1.888827	10.403575	-0.2620259	30000	0.007256003	7.6582713	0.0	-4.8287325	1.1748962	0.078976	0.048	0.0	1888.3182718753815
30	4.2676477	3.8028407	10.698483	-3.1824377	100.0	88.181816	2.933248	2.5572348	10.675456	-5.3734465	31000	-0.0056070676	7.3904967	0.0	-5.1619387	1.1281314	0.050956406	0.04	0.0	1969.170028924942
31	4.060281	2.2836244	6.7828994	-1.4005158	100.0	95.4	3.5411665	2.3129308	12.423609	-1.0069094	32000	0.0045958282	4.3900166	0.0	-2.878421	1.1508346	0.03437331	0.023	0.0	2048.780118703842
32	5.076881	3.7072742	10.147435	-1.3520397	90.9090909090909	94.6	2.807873	1.7195226	7.541382	0.010450602	33000	0.028655147	3.8069234	0.0	-2.2662802	1.1567599	0.13439266	0.067	0.0	2128.361093521118
33	2.7879894	3.3419473	9.60713	-2.8220384	100.0	86.27273	3.3568783	2.435051	11.631002	-0.7218437	34000	0.027654812	5.7105446	0.0	-3.1225615	1.1389163	0.13525923	0.077	0.0	2205.1942760944366
34	5.445528	3.2479503	11.624883	-0.84213567	76.92307692307693	82.166664	2.0091953	1.7274861	7.8283043	-0.47819814	35000	0.028605854	7.0822644	0.0	-5.7687535	1.1479412	0.041542746	0.038	0.0	2285.6612133979797
35	3.130942	4.0708814	12.011683	-4.871413	92.3076923076923	77.5	4.0245934	2.3995485	11.3451185	0.39251226	36000	-0.0025767514	7.407542	0.0	-4.64165	1.1231221	0.11261461	0.071	0.0	2359.787266254425
36	4.913798	3.0963373	12.784926	-0.5359901	92.3076923076923	80.833336	2.689628	2.2323186	14.418207	-0.48592207	37000	0.05187364	3.6071725	0.0	-2.3400402	1.1348788	0.08114286	0.054	0.0	2463.1077649593353
37	3.8329139	2.5157554	9.4657955	-0.1717816	91.66666666666666	85.72727	3.1352398	1.9199464	8.837237	-1.0786197	38000	-0.0060454835	1.045577	0.0	-0.5358631	1.1134692	0.095901914	0.06	0.0	2590.148824930191
38	4.454166	3.143275	10.523958	-1.6455449	100.0	81.25	3.186436	2.0865514	10.685385	0.0027075708	39000	0.013214999	1.9873589	0.0	-0.5373906	1.1632566	0.039786078	0.042	0.0	2658.7766354084015
39	3.1090076	5.036563	10.714615	-6.77468	92.3076923076923	82.166664	3.036611	1.6107281	10.45593	0.57639575	40000	-0.011544261	8.969836	0.0	-3.2156124	1.1528977	0.09710405	0.062	0.0	2829.8565731048584
40	3.4665985	2.4390104	8.242367	-1.6792328	100.0	86.0	2.1224504	1.9267645	10.130732	-1.3277757	41000	0.078091845	3.170972	0.0	-1.7485988	1.1005919	0.122730106	0.062	0.0	2949.414179086685
41	4.7381835	2.466828	9.433573	1.58675	90.9090909090909	97.4	3.3303592	2.3226085	10.329282	-0.617931	42000	0.011969297	1.6946448	0.0	-0.90783435	1.1597192	0.084398456	0.053	0.0	3069.336837053299
42	2.8404121	5.056941	10.511357	-6.3078475	91.66666666666666	87.0	3.0677662	1.9589852	9.984502	-0.43180975	43000	0.00088051293	8.42125	0.0	-2.812008	1.1486987	0.100520045	0.068	0.0	3124.1322321891785
43	4.125525	3.6198542	10.177921	-2.4514496	83.33333333333334	87.181816	2.9327645	2.1738474	10.101623	-1.0086321	44000	0.02521876	2.4864185	0.0	-1.3715236	1.1733905	0.0752086	0.053	0.0	3198.659107685089
44	5.44814	2.7321088	10.003366	2.0585217	100.0	106.0	3.2782042	2.1766255	9.895322	-1.5784943	45000	0.007656887	3.1395235	0.0	-2.304672	1.2048565	0.028807983	0.02	0.0	3293.0406789779663
