Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	vel_crashes	ang_vel_crashes	angle_crashes	fuel_crashes	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-34.30206	8.384517	-22.263481	-52.88094	100.0	16	5	13	1	125.13333	0.09469964	0.168507	0.7073779	-0.43782723	2000	-2.5510788e-08	1252.0317	-0.020379612	-252.25598	1.3230932	0.011526402	0.114	79.0	2.8425228595733643
1	-38.210197	9.040081	-25.801363	-55.369503	100.0	15	10	15	1	140.5	-3.0462942	2.2469552	-0.98840696	-10.637131	4000	3.409386e-08	1251.553	-0.018752754	-385.07495	1.3290606	0.015618947	0.091	19.0	5.352765798568726
2	-31.059294	6.9961386	-15.317816	-45.876812	100.0	17	9	13	1	117.23529	-11.2909975	6.199814	-4.6166553	-27.840792	6000	-1.001358e-08	457.13483	-0.0214488	-171.88022	1.3094363	0.00985258	0.092	79.0	8.7302565574646
3	-32.07823	10.5926285	-10.480033	-56.80884	100.0	15	6	12	1	133.33333	-16.857492	7.3106413	-8.404084	-37.67635	8000	1.9311905e-08	732.81256	-0.020483145	-218.3601	1.2886893	0.011209769	0.1135	79.0	12.177929878234863
4	-27.769405	8.343078	-9.088033	-38.976624	94.11764705882352	16	4	14	0	119.25	-23.368109	7.9914393	-11.477508	-51.747124	10000	-1.37090685e-08	113.76748	-0.016393458	-22.67482	1.2946478	0.012881601	0.1905	79.0	16.142176628112793
5	-34.867577	13.621837	-7.728027	-55.10359	100.0	14	3	12	1	142.5	-26.074993	9.814264	-14.777265	-76.03859	12000	7.629395e-09	296.47968	-0.015906487	-109.51932	1.2436689	0.0151052065	0.1435	24.0	19.533141613006592
6	-36.373146	7.61482	-25.712732	-52.1435	100.0	14	7	15	1	136.64285	-33.986233	11.819317	-14.991717	-80.4181	14000	6.0796737e-09	166.97269	-0.019249707	-41.693733	1.2509887	0.010752544	0.177	79.0	23.20928931236267
7	-29.87838	11.890176	-9.190168	-47.102615	94.73684210526315	17	4	15	0	107.5	-24.210453	5.0436244	-10.190985	-41.896572	16000	1.192093e-10	174.44296	-0.0077472795	-41.125687	1.2550586	0.015485254	0.0925	9.0	27.11131238937378
8	-29.052612	11.253069	-6.2202063	-43.208553	94.73684210526315	15	9	16	1	110.0	-29.9647	7.0460973	-11.436863	-50.57457	18000	8.8214875e-09	98.49572	-0.013909163	-6.6511383	1.2551022	0.006230845	0.1595	79.0	31.822721004486084
9	-30.053608	9.548708	-7.373599	-45.28564	95.83333333333334	19	6	22	0	85.26087	-26.243425	3.8521454	-13.110275	-36.622696	20000	9.059906e-09	93.48502	-0.019745264	-15.057426	1.1973684	0.0130997645	0.218	79.0	37.70777750015259
10	-22.081171	9.986765	-10.287523	-40.612938	92.0	19	2	19	0	82.666664	-28.034206	5.181431	-15.224694	-41.31959	22000	-2.2411346e-08	125.6653	-0.01425241	-48.5756	1.1781372	0.012570194	0.1185	79.0	44.29305911064148
11	-22.699467	9.240853	-7.1815996	-42.98081	100.0	27	0	22	0	73.74074	-22.910343	2.8384366	-13.032003	-30.750944	24000	1.2516975e-09	73.61015	-0.009930412	-2.6268845	1.1014687	0.012476643	0.084	79.0	50.125746726989746
12	-22.024645	10.558477	-8.668352	-43.02375	96.29629629629629	22	3	18	0	76.65385	-20.52124	3.459427	-10.358457	-25.781315	26000	-5.722046e-09	120.62824	-0.015194674	-10.141045	1.0828469	0.015195136	0.1295	43.0	56.009902000427246
13	-17.575798	9.016905	-7.3528295	-44.10448	85.18518518518519	18	2	16	0	76.61539	-20.847675	3.470138	-8.1714735	-26.078917	28000	2.18153e-08	97.11698	-0.01636065	-20.535774	1.0951298	0.006590991	0.06	79.0	62.73176026344299
14	-19.440111	8.423107	-7.1329083	-43.623207	92.5925925925926	22	2	19	0	75.61539	-17.440855	2.458489	-9.058141	-20.935303	30000	6.2584875e-09	69.88249	-0.0139314225	-4.48349	1.0937285	0.008437343	0.081	79.0	69.47153496742249
15	-16.177162	7.1381397	-6.23346	-31.069105	85.18518518518519	20	0	18	0	76.65385	-18.679544	2.2571282	-10.583846	-22.911053	32000	-8.2850455e-09	57.846943	-0.015161734	-12.855522	1.0837878	0.005532828	0.0835	79.0	75.95017337799072
16	-15.616777	7.9609613	-6.0007854	-42.181854	80.76923076923077	18	0	15	0	78.4	-15.408477	2.3450756	-6.968418	-19.692429	34000	4.7683715e-09	56.69347	-0.024066985	-3.424427	1.1028717	0.014220211	0.1155	79.0	81.08175921440125
17	-22.203102	19.058191	-6.705501	-92.28957	85.0	15	0	14	1	104.0	-41.153263	59.67796	-6.389724	-213.65776	36000	-8.46386e-09	1867.972	-0.007573255	-1292.4418	0.9099352	0.017421732	0.0505	7.0	85.02171516418457
18	-13.395408	6.695886	-5.5050917	-29.883331	59.09090909090909	10	0	10	1	92.666664	-11.279824	2.806881	-3.889399	-16.343382	38000	-1.8894672e-08	46.661404	-0.02011867	-1.564106	1.150152	0.009479678	0.1545	79.0	90.5239725112915
19	-14.782258	6.7643294	-4.969296	-29.975426	76.92307692307693	12	1	16	0	78.28	-12.660033	2.1930015	-5.429872	-18.229616	40000	9.536744e-10	49.43331	-0.014223351	-3.7338257	1.1240944	0.005175137	0.12	79.0	95.91325068473816
20	-14.46354	5.0120134	-8.873178	-27.227362	88.88888888888889	13	0	20	0	76.26923	-13.762729	1.9822166	-7.3224216	-19.796265	42000	-6.3180923e-09	23.309254	-0.013527203	-0.7538624	1.0757563	0.015417885	0.13	25.0	101.28178477287292
21	-13.467106	5.5948644	-4.0986843	-26.159166	79.16666666666666	6	0	16	0	85.95652	-12.795762	2.1576936	-5.6520915	-16.720406	44000	-3.5762787e-10	35.40596	-0.016070407	-0.9138298	1.1385374	0.008036942	0.0755	79.0	106.57299757003784
22	-11.720092	5.44843	-4.437966	-25.753363	60.0	3	1	12	0	103.789474	-11.538738	3.1305213	-4.2764	-15.876971	46000	9.536744e-10	35.629383	-0.01447321	-2.1950111	1.1719778	0.006113661	0.089	79.0	111.04300427436829
