Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	vel_crashes	ang_vel_crashes	angle_crashes	fuel_crashes	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-35.126987	7.6175785	-22.118631	-52.042828	95.0	14	5	14	1	136.92857	0.07443602	0.17148533	0.6216405	-0.48985004	2000	-4.2915342e-09	1195.1384	-0.0162222	-223.7143	1.3317125	0.015179245	0.1395	45.0	9.135433197021484
1	-37.831837	6.855468	-26.639904	-56.049904	80.71428571428571	16	12	14	1	121.8125	-3.0382807	2.1193097	-0.811545	-11.699183	4000	-9.536744e-10	1183.7534	-0.02191381	-359.55774	1.3307593	0.015252005	0.1985	73.0	14.290606498718262
2	-32.349987	9.7115	-10.32366	-45.56502	95.0	12	5	12	2	153.46153	-9.301063	4.29271	-4.4426208	-29.747404	6000	-8.8214875e-09	612.80524	-0.022744853	-240.96219	1.3101923	0.015024561	0.1425	64.0	19.359322786331177
3	-27.81883	10.082109	-9.133411	-43.333897	89.44444444444444	13	2	12	2	147.84616	-14.249229	5.5140214	-6.177881	-38.012497	8000	8.34465e-09	246.58368	-0.013908141	-92.51453	1.2416278	0.011562893	0.11	79.0	24.28864097595215
4	-33.161602	5.4589663	-21.931988	-40.6321	95.0	11	1	10	4	176.8	-21.698107	8.943163	-11.770553	-54.438377	10000	5.7458877e-08	289.00922	-0.019599903	-134.38931	1.2171016	0.002899783	0.1105	79.0	28.98368501663208
5	-32.245804	10.216273	-13.660255	-53.387753	95.0	11	4	8	4	194.4	-30.238293	11.153268	-17.358078	-67.526054	12000	7.033348e-09	153.91505	-0.024812931	-34.014305	1.2170676	0.008131704	0.18	79.0	33.13398051261902
6	-29.027996	7.739872	-14.3206415	-40.084236	95.0	13	7	10	1	150.0	-27.05155	7.887209	-15.517148	-81.2211	14000	-9.298325e-09	101.44442	-0.010170903	-30.642204	1.1820102	0.015584303	0.1475	22.0	37.108593702316284
7	-31.235006	14.793598	-8.535617	-62.162994	80.71428571428571	9	1	11	2	151.61539	-33.9225	27.28998	-9.411589	-127.900986	16000	-1.1622905e-08	555.536	-0.0142474305	-165.2526	1.070245	0.015593552	0.0635	53.0	41.62132382392883
8	-31.25132	8.91628	-13.7074995	-42.076637	95.0	18	3	19	1	105.94444	-22.08754	5.017358	-13.54746	-61.78479	18000	2.9444694e-08	166.3939	-0.013834637	-58.058685	1.117113	0.015483737	0.0975	23.0	47.41618537902832
9	-29.60923	10.082368	-8.613856	-43.3779	83.88888888888889	15	5	17	0	112.17647	-26.218864	3.9372065	-9.917808	-42.792812	20000	-1.0490417e-08	101.50948	-0.015208521	-7.616577	1.2239673	0.006336178	0.063	79.0	54.68698334693909
10	-29.828575	12.476919	-7.790329	-43.215805	77.35294117647058	16	4	12	1	122.8125	-28.918232	4.726915	-13.550602	-49.622814	22000	-9.894371e-09	129.08995	-0.0163217	-5.413765	1.1900425	0.013823788	0.1115	79.0	60.347180128097534
11	-32.957012	5.974888	-23.176147	-43.915115	82.5	13	7	13	0	137.07143	-31.269947	4.659412	-11.389671	-49.59581	24000	-1.9073486e-08	58.183094	-0.01709205	-5.2568054	1.2338154	0.012635911	0.0885	79.0	66.05152034759521
12	-35.72869	5.617576	-27.09592	-44.80849	71.47058823529412	12	4	10	3	168.36363	-33.252335	6.370818	-21.255228	-57.557198	26000	5.6028364e-09	74.90962	-0.019471845	-13.402142	1.2438222	0.013039533	0.155	79.0	70.96968150138855
13	-32.729427	9.515578	-11.519488	-50.698566	85.0	14	7	14	1	139.64285	-30.746315	4.8897896	-17.88471	-52.797638	28000	6.437302e-09	124.176476	-0.012197308	-15.515137	1.2173408	0.015988942	0.1125	11.0	75.11915612220764
14	-28.399393	6.6450834	-17.359499	-41.509026	71.47058823529412	13	4	16	1	132.33333	-30.250298	4.4353633	-15.990414	-39.838238	30000	-1.4305114e-08	57.61942	-0.019171989	-14.015461	1.2353207	0.012488102	0.0995	79.0	80.47371244430542
15	-22.013597	9.026161	-7.981579	-33.84572	59.705882352941174	11	2	13	1	132.8	-26.939133	5.1951103	-13.700997	-44.743225	32000	4.1127204e-09	122.47074	-0.009365046	-33.22635	1.2376971	0.015651414	0.104	14.0	85.60368967056274
16	-24.50918	11.456059	-6.2907267	-41.756943	24.411764705882355	13	0	15	0	117.23529	-20.946535	3.5999572	-11.304269	-27.448225	34000	1.2397766e-08	147.79471	-0.021726562	-11.7560425	1.2075888	0.007817423	0.1345	79.0	90.44087076187134
