Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	vel_crashes	ang_vel_crashes	angle_crashes	fuel_crashes	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-41.647427	9.004793	-27.213488	-55.345005	85.0	14	6	13	2	145.92308	0.095981255	0.13143788	0.40613055	-0.3157854	2000	-5.2213668e-08	1715.619	-0.020773338	-262.33386	1.3289285	0.012581711	0.125	79.0	10.135393381118774
1	-39.175694	8.934623	-23.349947	-53.806038	85.0	13	6	10	2	147.66667	-2.9583619	2.0762784	-1.1818677	-10.779498	4000	1.180172e-08	1095.1697	-0.01916382	-318.2246	1.3038071	0.015114103	0.139	23.0	15.888873815536499
2	-31.230274	8.551505	-15.433674	-48.642143	85.0	14	6	10	2	144.3077	-9.102121	4.5999036	-3.9136674	-24.94794	6000	3.4570693e-08	514.5003	-0.019663742	-218.81561	1.314096	0.01465323	0.1045	79.0	21.8005793094635
3	-35.41262	6.685513	-23.27436	-44.07196	77.85714285714286	13	7	11	2	149.84616	-15.058047	6.1109786	-8.02248	-41.165546	8000	3.218651e-08	443.80368	-0.018325211	-260.98505	1.2766738	0.011998325	0.207	79.0	27.587266445159912
4	-37.614475	10.325261	-22.624537	-61.17485	85.0	14	7	13	2	141.5	-26.745247	14.32689	-14.3961525	-70.97355	10000	-7.277727e-08	297.34464	-0.018349664	-122.615036	1.2195632	0.0104686	0.1045	79.0	32.7240993976593
5	-26.256056	8.534509	-9.47153	-42.412617	85.0	16	9	8	2	129.46666	-31.71371	12.707211	-20.422815	-75.57842	12000	1.3351441e-08	169.7771	-0.01895732	-124.51836	1.1622915	0.013535106	0.1035	79.0	38.273075342178345
6	-33.2363	7.779048	-21.458296	-50.587704	85.0	14	7	10	2	148.6923	-28.669008	10.851933	-15.719595	-67.3745	14000	5.2452087e-09	196.17151	-0.008252673	-45.81404	1.2201138	0.016190218	0.13	12.0	42.98808932304382
7	-33.331615	9.302632	-21.42766	-57.419697	85.0	15	9	12	1	132.26666	-25.06326	4.5854836	-14.613522	-42.080708	16000	-1.66893e-08	176.85767	-0.011236299	-80.90554	1.2625033	0.015360851	0.081	9.0	47.80552554130554
8	-32.118683	8.185782	-12.185038	-50.697605	85.0	18	9	15	0	115.35294	-28.700918	3.667445	-15.987877	-35.735065	18000	1.4901161e-08	82.58473	-0.009003709	-15.812073	1.2639931	0.015611054	0.202	11.0	53.020503997802734
9	-27.950993	9.035422	-8.947189	-41.088505	79.73684210526315	13	5	17	0	106.111115	-27.324156	4.979678	-11.2544985	-34.425026	20000	1.4066696e-08	86.915405	-0.01290149	-6.197006	1.2539326	0.015060034	0.218	29.0	58.57178044319153
10	-24.44012	8.71278	-13.7650795	-42.4943	80.23809523809523	15	3	19	0	96.3	-26.035519	5.2479196	-11.468629	-35.243023	22000	3.2544136e-08	90.50073	-0.019328322	-13.749634	1.2193184	0.008735544	0.135	79.0	65.0585105419159
11	-18.821938	10.069567	-6.3247128	-40.92314	71.36363636363636	16	3	12	0	91.85714	-23.085878	4.4724193	-8.849648	-28.189888	24000	4.887581e-08	128.07289	-0.01924462	-32.873116	1.1885887	0.012025342	0.1045	79.0	72.15601634979248
12	-18.713789	8.501715	-7.5180273	-39.08706	76.30434782608695	15	4	16	0	86.95652	-18.969246	3.5869954	-7.821753	-24.548836	26000	1.6093255e-08	105.42016	-0.012928048	-5.344078	1.1547545	0.015630636	0.1235	38.0	78.75572538375854
13	-13.818212	5.481453	-5.5605135	-29.034117	65.76923076923077	13	2	16	0	77.72	-19.032093	3.2070599	-8.588401	-23.280024	28000	1.3530254e-08	63.065746	-0.018692289	-33.97058	1.0937268	0.008843988	0.095	79.0	86.76018404960632
14	-14.3881445	6.6286726	-5.0816097	-34.782043	58.076923076923066	15	1	11	0	78.76	-14.763605	3.2014701	-5.008495	-22.578108	30000	2.7418137e-08	38.27286	-0.021925397	-2.7738647	1.1009735	0.015055019	0.11	52.0	93.91098284721375
15	-10.87478	3.783493	-4.41449	-18.575024	45.0	8	0	10	0	82.5	-13.192461	2.8979342	-5.376645	-18.224655	32000	-3.8981437e-08	25.190533	-0.016033785	-8.1184025	1.09778	0.011543878	0.133	79.0	101.49743390083313
16	-10.553907	3.5304353	-5.410658	-18.485918	32.82608695652174	2	1	9	1	90.86364	-10.326137	2.8207018	-4.00934	-15.363813	34000	4.196167e-08	14.555607	-0.013661825	-1.2805519	1.1034584	0.015165374	0.1	39.0	107.87927460670471
17	-11.711048	4.7344184	-4.5560126	-24.444672	49.0	10	0	9	0	80.75	-10.502469	2.403208	-3.9685783	-16.295753	36000	-2.0742416e-08	29.645666	-0.01968273	-1.9284286	1.0372243	0.009903053	0.1105	79.0	114.87142562866211
18	-9.280104	2.3920014	-5.42601	-14.924596	37.38095238095239	9	1	3	1	98.35	-10.550911	2.9589555	-4.1364326	-19.880255	38000	-3.8146974e-09	14.244347	-0.020146152	-5.031536	1.0807796	0.0077667753	0.135	79.0	121.78430032730103
19	-8.3262	2.706058	-3.8572853	-13.852036	37.63157894736842	4	0	7	1	110.166664	-8.598996	2.14042	-3.6984835	-13.595502	40000	1.2159347e-08	10.355726	-0.014039078	-1.3770304	1.067728	0.009859735	0.0785	79.0	127.62735629081726
20	-10.635338	5.347828	-3.0119789	-23.77516	45.0	7	0	5	4	124.71429	-8.405716	2.4164934	-3.6019077	-14.950298	42000	-1.8715859e-08	39.29177	-0.018821036	-5.617504	1.0563593	0.013728184	0.115	79.0	132.86832308769226
