Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-27.775148	10.087989	-14.4150505	-47.44203	100.0	209.77777	0.5209458	0.43908292	2.8266823	0.03238049	2000	6.2584874e-08	875.4457	-0.02548231	-716.7008	1.348624	0.013866283	0.11	79.0	3.234607696533203
1	-26.62475	10.06106	-9.614378	-42.91646	100.0	187.8	-25.47161	12.145565	-11.7792635	-66.09826	4000	-1.001358e-08	178.64772	-0.017804796	-71.653275	1.2757714	0.0023008112	0.1325	79.0	5.340551137924194
2	-25.518072	8.703165	-10.020228	-39.06407	100.0	157.0	-20.893356	10.822478	-7.7492914	-63.79568	6000	1.704693e-08	115.54995	-0.014139128	-54.219692	1.2586278	0.015117758	0.148	15.0	7.529313802719116
3	-19.41056	8.004248	-7.9129863	-31.620815	100.0	125.666664	-25.475424	6.306298	-14.293994	-42.45263	8000	2.5272369e-08	150.84807	-0.022531671	-74.04547	1.3371911	0.01045728	0.13	79.0	10.215397834777832
4	-25.664093	8.645667	-12.094879	-46.988747	100.0	139.85715	-21.974989	6.4333916	-10.934456	-38.792507	10000	2.0503998e-08	103.60215	-0.02638667	-47.0475	1.3400633	0.014245411	0.2135	79.0	12.6574387550354
5	-20.288126	8.146968	-10.584712	-37.495365	100.0	107.22222	-21.779291	2.8881133	-11.036531	-31.23384	12000	-2.2292138e-08	64.902306	-0.023585347	-13.239876	1.3446236	0.015115759	0.141	63.0	15.597393274307251
6	-17.308262	5.6502757	-8.839176	-26.231688	100.0	97.3	-17.510233	2.6881647	-10.753478	-23.61185	14000	2.0861625e-08	44.750095	-0.025384394	-8.622097	1.3272835	0.011952634	0.1755	79.0	18.655415058135986
7	-17.927704	6.379864	-3.0545309	-30.02792	100.0	97.4	-16.351078	2.4185143	-8.729534	-21.560596	16000	-4.23193e-09	46.03353	-0.017809961	-10.852665	1.2976084	0.012249347	0.1345	79.0	21.68950605392456
8	-13.94928	10.865817	9.932663	-28.780201	86.95652173913044	89.59091	-15.826024	2.6512513	-6.4879365	-25.821587	18000	-9.298325e-09	106.487564	-0.011191179	-24.66452	1.2708101	0.015246542	0.1995	16.0	24.739242553710938
9	-13.750445	9.720627	7.3100815	-27.809113	92.0	78.958336	-12.151702	4.939573	-1.5973473	-24.028461	20000	-7.629395e-09	76.61185	-0.017380478	-7.7283936	1.2202487	0.015042792	0.285	21.0	28.06406831741333
10	-10.864477	11.146073	8.787003	-27.85052	88.46153846153845	77.84	-13.437196	3.8181887	-4.7949934	-23.987143	22000	1.1444092e-08	86.54226	-0.012941108	-24.232162	1.1392623	0.016934155	0.147	10.0	31.49799156188965
11	-2.2142723	7.879891	9.542857	-17.340054	86.66666666666667	68.793106	-6.063453	4.8536377	0.8695595	-19.702347	24000	4.4345857e-08	76.98075	-0.0019251732	-29.3064	1.0202987	0.015280061	0.162	11.0	35.245606899261475
12	-4.492209	9.3541765	6.643739	-25.12409	96.96969696969697	62.0625	-2.893467	3.2068644	1.4342012	-14.759687	26000	-1.9073486e-08	64.01773	-0.014427118	-13.9026375	0.90737367	0.005455963	0.0645	79.0	39.427825927734375
13	-2.3737006	6.221961	7.7782345	-16.90613	93.93939393939394	61.0625	-3.633386	3.6311157	1.5507745	-16.694353	28000	-4.053116e-09	27.215618	-0.014808911	-6.475876	0.87831455	0.0055838926	0.1015	79.0	43.75800895690918
14	-0.9346235	4.942705	7.146303	-12.7183075	93.93939393939394	60.59375	-1.6062734	2.8552427	2.4089212	-12.377834	30000	5.00679e-09	18.803898	-0.015368523	-2.848051	0.85020864	0.005425327	0.079	79.0	48.011953592300415
15	0.40760323	4.2118945	6.9479876	-11.579804	91.17647058823529	60.484848	-0.42457405	2.1032276	3.4148936	-7.7163796	32000	-1.6212464e-08	17.617296	-0.018630642	-4.817115	0.8308976	0.0069523915	0.115	79.0	52.46688103675842
16	1.8038249	4.4883966	9.389137	-6.858054	72.72727272727273	62.3125	1.1566505	1.9925504	4.1493587	-8.326296	34000	2.6226044e-09	20.331797	-0.00665075	-5.6730795	0.85789853	0.015447662	0.185	10.0	56.5383505821228
17	3.7593563	3.4269414	9.049724	-4.216841	74.19354838709677	65.0	2.148124	1.9055651	5.368326	-4.1275916	36000	1.9550324e-08	14.604938	-0.016280007	-4.586482	0.9038462	0.005947818	0.0795	79.0	60.6543550491333
18	4.9188128	2.604427	9.401122	-1.0628978	50.0	67.0	4.324002	1.5692434	7.6634555	-1.6226177	38000	-1.6689301e-09	6.913347	-0.016139768	-1.3707771	0.9159298	0.0063584703	0.106	79.0	64.67554211616516
19	5.095011	2.8622115	9.721973	-0.8297566	64.51612903225806	65.933334	4.928545	1.7520336	9.062558	-1.9993541	40000	-1.37090685e-08	5.543725	-0.01581237	-0.8610344	0.90469205	0.0071667633	0.1	79.0	69.25418853759766
