Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-21.205679	11.965047	0.18045536	-44.001987	100.0	155.41667	0.53633004	0.47065762	3.0449839	-0.008066475	2000	-2.0503998e-08	661.6536	-0.026312025	-517.9627	1.2862742	0.011778426	0.104	79.0	5.414909601211548
1	-29.426334	14.309121	-6.3624754	-54.402344	100.0	189.1	-24.1267	12.421072	-9.747343	-63.398624	4000	1.0728836e-09	235.17343	-0.023176057	-73.84064	1.3508766	0.010318833	0.1585	79.0	9.36049747467041
2	-25.80018	9.235372	-13.724479	-47.535603	100.0	189.0	-26.116364	12.496486	-10.227167	-61.622368	6000	1.2755394e-08	108.02612	-0.026667137	-37.118523	1.3245667	0.006257832	0.271	79.0	11.5833899974823
3	-18.171667	5.8233166	-6.5595503	-27.65595	100.0	105.666664	-17.473066	3.3974605	-9.593631	-26.190674	8000	-3.3378602e-09	34.25539	-0.013856061	-3.5524216	1.3508385	0.01510531	0.215	12.0	15.463781118392944
4	-16.781727	6.2983775	-8.751572	-30.144691	100.0	124.75	-16.46237	3.028639	-8.37774	-24.643484	10000	3.0994416e-09	37.657955	-0.024086393	-7.549263	1.3345973	0.0076414905	0.231	79.0	25.91905426979065
5	-17.907082	6.0576205	-8.9917	-28.301418	94.11764705882352	124.75	-14.75503	2.841104	-7.942429	-24.961128	12000	-1.5497208e-09	45.21315	-0.012292067	-9.36068	1.3098452	0.015676161	0.1565	9.0	28.82376480102539
6	-17.08253	6.1042385	-7.826091	-33.784637	100.0	95.14286	-15.829071	1.93304	-10.034023	-22.153532	14000	1.1920929e-09	39.27293	-0.011648255	-4.897892	1.29245	0.015253185	0.176	19.0	32.589744567871094
7	-17.376595	7.1645756	-5.966559	-32.945408	100.0	90.0	-16.068584	1.9235903	-8.660562	-20.90638	16000	2.1457671e-09	53.277256	-0.015715003	-5.3693695	1.2454312	0.00952018	0.09	79.0	36.80873966217041
8	-16.551504	6.459771	-6.1426125	-26.653316	100.0	81.166664	-16.373827	1.8490907	-10.208352	-29.401157	18000	-2.4080277e-08	50.042713	-0.013729817	-9.727558	1.2129751	0.006050931	0.0565	79.0	40.83931374549866
9	-12.815346	6.568958	0.58847773	-24.6013	100.0	86.78261	-15.563892	2.2772663	-9.137724	-21.957577	20000	1.0967255e-08	64.630554	-0.02270973	-19.632256	1.2536368	0.009947485	0.119	79.0	44.75334572792053
10	-15.935828	7.117773	-6.3020754	-34.71095	100.0	89.5	-13.057332	1.6152816	-7.013096	-19.73184	22000	1.9073486e-08	48.42112	-0.014258623	-12.796043	1.2017941	0.008908264	0.057	79.0	48.8970992565155
11	-12.877755	5.5161996	-4.514192	-23.809416	100.0	89.818184	-14.543735	2.8799546	-6.479202	-26.552298	24000	9.536744e-10	33.62525	-0.019430026	-9.205029	1.199884	0.011707578	0.135	79.0	105.29842281341553
12	-10.492836	4.49352	-5.351071	-21.209492	100.0	92.09524	-12.705828	3.2712371	-6.5231977	-26.255142	26000	-2.5272369e-08	20.368809	-0.012266285	-7.487274	1.2148991	0.015474254	0.2565	21.0	110.23629808425903
13	-14.113716	8.663176	-4.2926326	-35.81516	95.83333333333334	85.08696	-10.709169	2.366486	-6.238949	-18.64221	28000	-1.0967255e-08	92.01197	-0.018168086	-37.106335	1.196786	0.0150543405	0.1145	48.0	114.0088574886322
14	-12.091095	4.6235657	-5.505936	-24.615015	100.0	82.75	-13.162576	2.6129932	-5.252866	-24.228512	30000	-3.409386e-08	30.640419	-0.017549213	-11.866398	1.2126497	0.01530111	0.251	42.0	117.61239576339722
15	-14.42878	5.9921436	-5.17433	-26.019207	100.0	84.21739	-11.736559	2.054775	-7.4733124	-19.656343	32000	-9.536743e-09	34.864258	-0.02026106	-9.991718	1.146201	0.0073511186	0.152	79.0	121.26169466972351
16	-9.867973	3.4140415	-3.9579637	-16.499418	100.0	79.6	-12.262803	2.149195	-9.132938	-18.86809	34000	3.5643577e-08	23.146265	-0.0058817896	-12.336456	1.1562307	0.0155068515	0.1185	8.0	137.402095079422
17	-12.506475	6.6385107	-4.2195277	-32.166325	100.0	74.15385	-9.388914	0.8432471	-7.735274	-14.538369	36000	2.9206275e-09	46.75621	-0.005472004	-12.235554	1.1484814	0.01835559	0.153	5.0	142.24467062950134
18	-8.534161	3.5704126	-4.1813865	-16.929228	100.0	79.48	-11.431437	1.5953661	-6.692555	-16.753977	38000	3.528595e-08	25.688417	-0.017262291	-14.064689	1.1703053	0.007311489	0.1485	79.0	146.09982895851135
19	-9.556401	3.4940262	-5.076952	-17.008772	96.29629629629629	76.15385	-7.892076	0.758004	-6.267268	-11.211465	40000	2.0980835e-08	14.326286	-0.015978634	-6.0275908	1.1683145	0.011835494	0.0975	79.0	150.01017928123474
20	-7.928793	4.1618423	-3.2386725	-19.402431	100.0	75.76923	-9.130128	1.9331053	-6.716394	-16.202232	42000	8.8214875e-09	15.945542	-0.008811673	-4.664262	1.1471775	0.016630538	0.2025	14.0	153.8920259475708
21	-8.546951	4.157082	-3.4033113	-18.641037	100.0	77.8	-6.854603	1.4810443	-5.226634	-20.267242	44000	-1.5497207e-08	16.882828	-0.0060739694	-4.725544	1.1529914	0.017399602	0.184	10.0	157.81066036224365
22	-8.2084465	4.43981	-2.9335206	-20.328514	100.0	80.791664	-7.9618964	1.5965283	-3.3142865	-12.7483635	46000	3.0994416e-09	18.488886	-0.021496061	-2.8676996	1.1814523	0.008892964	0.156	79.0	169.64577960968018
23	-7.364954	2.5793447	-3.5627592	-16.329556	100.0	79.76	-7.7039685	1.0691038	-5.060427	-11.216807	48000	-2.2649765e-08	6.4031534	-0.009295807	-1.3401885	1.1521553	0.015932495	0.2225	9.0	173.34358644485474
24	-8.395971	2.6281183	-4.609523	-15.383105	100.0	75.53846	-6.683173	0.79066676	-5.1297774	-11.065074	50000	-9.417534e-09	7.6180525	-0.006651657	-2.4862213	1.1112932	0.019114528	0.227	4.0	177.44538974761963
25	-6.6453886	2.2145205	-2.4725802	-10.715197	100.0	74.03846	-7.3724823	1.1424305	-4.132566	-10.685289	52000	1.1920929e-09	6.170255	-0.002222943	-2.0957947	1.0779167	0.0151558835	0.2295	4.0	184.01630878448486
26	-7.5333247	2.8169756	-3.845068	-15.83347	96.29629629629629	76.34615	-6.402142	0.6687878	-4.55199	-9.288639	54000	-1.642108e-08	7.345828	-0.015988424	-0.9491854	1.0343701	0.008879103	0.0925	79.0	188.04614353179932
27	-6.406189	3.9654229	-2.9672263	-19.857946	100.0	77.12	-6.96181	0.8482059	-5.0171413	-14.165302	56000	-1.3351441e-08	14.759371	-0.016366484	-2.2039213	1.0541196	0.015505759	0.227	22.0	191.8100368976593
28	-6.7894626	2.5530329	-2.6378288	-11.230125	100.0	72.81481	-6.0222626	1.1526254	-3.453785	-9.684032	58000	-1.4781952e-08	4.847311	-0.010496654	-1.4963105	1.0190941	0.017168459	0.1195	7.0	195.829421043396
29	-5.8636956	2.027605	-2.987807	-12.149954	100.0	76.0	-6.1703157	1.4890999	-2.6410754	-9.937775	60000	-1.990795e-08	6.433492	-0.012727226	-3.3945065	1.0406194	0.0071240435	0.0615	79.0	199.84809684753418
30	-6.273045	2.292828	-2.8192024	-11.983321	100.0	73.14815	-5.5360293	0.69168025	-3.8064725	-11.435553	62000	1.2159347e-08	4.4166756	-0.020616438	-0.37053013	1.053775	0.010349699	0.1135	79.0	203.8791229724884
31	-5.8963475	1.8673825	-2.9720602	-11.410548	100.0	73.77778	-5.7867794	0.7322202	-3.503883	-8.585473	64000	1.4305114e-08	3.1087718	-0.016853016	-0.47536492	1.0270039	0.0059618186	0.096	79.0	208.10753273963928
32	-5.066022	1.6406317	-2.8081052	-9.246974	100.0	74.57692	-5.3825717	0.6853894	-3.4518163	-8.017025	66000	4.2915346e-08	2.8720033	-0.007875839	-0.6640105	0.99069196	0.016517399	0.1505	6.0	211.83929014205933
33	-5.1422377	1.8193182	-2.8307722	-9.967544	100.0	74.92308	-4.6649904	0.56746167	-3.33876	-7.478364	68000	-5.841255e-09	2.90338	-0.007589562	-0.60555506	0.9503989	0.015179479	0.0845	10.0	215.50300765037537
34	-4.6167665	1.43303	-2.4182153	-7.2852526	100.0	74.96154	-4.766545	0.68110526	-3.120697	-7.6903276	70000	1.9073487e-09	2.2565792	-0.017742839	-0.43539298	0.95753276	0.008074985	0.1085	79.0	219.39262175559998
35	-4.716422	1.4074286	-2.7074637	-8.493518	100.0	75.80769	-4.189502	0.62293607	-2.4640017	-6.618176	72000	-1.9073487e-09	1.8471104	-0.016169421	-0.48546815	0.92953163	0.011257123	0.0975	79.0	223.45873832702637
36	-4.1869335	1.5884781	-1.6747631	-7.531705	100.0	75.73077	-4.2196617	0.66933894	-2.6022055	-7.0324807	74000	-2.8729438e-08	2.4244747	-0.01927141	-0.3774941	0.9171255	0.011037923	0.144	79.0	229.24276638031006
