Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-28.736877	18.761332	-12.922462	-80.1877	100.0	181.8	0.6522877	0.56278205	2.9941995	0.08143219	2000	3.242493e-08	1644.284	-0.017711522	-1244.749	1.3099277	0.011961819	0.152	79.0	3.292877197265625
1	-34.164303	15.10108	-10.570914	-64.94706	100.0	204.66667	-32.22552	21.805147	-9.793244	-103.36009	4000	3.8146972e-08	451.55023	-0.015296612	-117.319305	1.1196442	0.015343468	0.0855	32.0	5.191839694976807
2	-31.714695	12.7686405	-16.822102	-61.590164	100.0	186.9	-25.22071	12.114335	-8.891019	-70.94256	6000	-3.0994414e-08	221.08255	-0.022466417	-65.54352	1.287625	0.0042811055	0.104	79.0	7.333185195922852
3	-25.552126	10.439159	-10.085941	-39.811607	100.0	159.91667	-25.994802	9.697821	-13.3497505	-65.20281	8000	-1.4305115e-09	137.04443	-0.021640262	-49.75952	1.320975	0.004304308	0.082	79.0	9.661062479019165
4	-25.941986	8.497182	-11.560088	-42.401314	100.0	140.84616	-24.612564	11.219702	-12.3431635	-70.16903	10000	-1.9073487e-09	92.52503	-0.018124755	-37.73745	1.2207031	0.01537254	0.153	53.0	11.993977546691895
5	-19.767458	7.7461576	-8.102032	-37.867847	100.0	106.77778	-20.161602	3.956596	-10.876679	-38.782703	12000	-2.4914742e-08	69.854744	-0.025468584	-14.340092	1.3439094	0.013464171	0.145	79.0	14.901050567626953
6	-15.217636	10.321317	7.165581	-31.728682	93.75	128.86667	-18.722094	6.1402564	-8.521988	-50.96718	14000	-1.6748904e-08	115.558975	-0.0069795838	-25.436287	1.2146648	0.015145571	0.0845	10.0	17.29637908935547
7	-16.157084	9.754492	3.8950617	-33.94333	100.0	108.833336	-14.4275875	2.487289	-9.727685	-28.331745	16000	7.867813e-09	78.27052	-0.021879502	-15.70079	1.3154224	0.011303662	0.1735	79.0	20.256532907485962
8	-14.29975	9.63822	6.4183993	-34.560066	100.0	89.09091	-13.9917145	3.6398094	-6.8318214	-23.490763	18000	1.0609627e-08	77.25711	-0.013161867	-28.260803	1.2700326	0.015253666	0.172	19.0	23.372665643692017
9	-16.56638	9.70139	5.8050814	-29.61211	100.0	84.59091	-12.3092575	4.3101954	4.42261	-23.37366	20000	-1.2278557e-08	83.92081	-0.020684963	-26.69461	1.2567222	0.010840283	0.173	79.0	26.677391052246094
10	-15.401954	7.093539	4.446731	-25.36008	100.0	83.391304	-14.699658	5.175518	-3.9479678	-23.99422	22000	-7.867813e-09	46.475643	-0.010954361	-13.84951	1.1844306	0.01597934	0.1435	27.0	30.020975828170776
11	-5.9788218	10.211195	9.223254	-26.057362	77.27272727272727	92.2381	-13.6203785	3.3893933	-6.301407	-23.580967	24000	3.0994416e-09	137.3082	-0.007623411	-69.25575	1.1732119	0.01607293	0.164	12.0	33.10664129257202
12	-6.651862	7.8831882	7.7473125	-26.2435	96.42857142857143	73.888885	-4.5257215	3.431849	3.3183272	-15.16914	26000	1.4781952e-08	60.06067	-0.008221113	-13.317619	1.0423378	0.015342088	0.1575	9.0	36.9356484413147
13	-1.460519	5.867831	6.1710477	-15.654637	100.0	66.586205	-4.526808	2.7483706	-0.20311251	-15.547466	28000	-3.0994416e-09	34.86874	-0.012292232	-16.32082	0.90332687	0.0043398086	0.062	79.0	40.78781485557556
