Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-28.290236	13.473398	-15.670865	-59.500668	91.66666666666666	176.09091	0.79601955	0.9696183	5.9466853	0.08956087	2000	-4.529953e-09	1351.4916	-0.025284493	-1097.9835	1.185211	0.013042603	0.1315	79.0	3.221938133239746
1	-26.216038	10.602451	-11.572798	-46.999912	95.45454545454545	138.0	-21.61763	14.885189	-9.940134	-72.97417	4000	-9.775162e-09	320.63892	-0.021489974	-186.91373	1.3019159	0.011799432	0.1435	79.0	5.673020124435425
2	-24.460583	7.518372	-11.740733	-44.336548	100.0	181.72728	-21.029596	8.147706	-7.071686	-44.21998	6000	-1.3113022e-08	165.61554	-0.024362674	-54.34185	1.3114054	0.0066293683	0.191	79.0	7.8883867263793945
3	-18.523523	5.8491096	-8.24966	-26.65013	100.0	128.33333	-14.643156	3.111081	-8.435555	-26.1923	8000	-2.2649765e-08	36.17425	-0.023886343	-5.1117954	1.3255478	0.009207445	0.2235	79.0	10.423043727874756
4	-20.614359	7.6677513	-10.610414	-32.97552	91.66666666666666	142.42857	-17.980793	5.937001	-6.546092	-37.42133	10000	-2.3722649e-08	59.28058	-0.02945975	-13.334736	1.309084	0.012824416	0.258	79.0	13.23692774772644
5	-19.596375	6.5816717	-6.235338	-28.435171	96.42857142857143	121.9375	-16.944077	2.7643762	-10.447258	-26.236101	12000	2.8014182e-09	44.835518	-0.015307583	-14.009855	1.29743	0.015365555	0.1905	23.0	15.710702180862427
6	-17.67363	7.7522945	-7.3712034	-34.31159	100.0	101.26316	-16.46292	2.8687139	-6.3393683	-21.069422	14000	2.1517277e-08	56.00828	-0.016931672	-4.538719	1.2957418	0.015883215	0.2385	26.0	18.503293752670288
7	-19.583069	6.942132	-5.9485917	-36.9339	95.45454545454545	92.85714	-16.19323	2.3651226	-7.8877974	-22.894167	16000	-4.7683715e-09	49.186337	-0.011952304	-8.118679	1.2558972	0.015078573	0.137	18.0	21.486702919006348
8	-17.56634	7.2960134	3.7916584	-27.104015	100.0	88.045456	-17.95682	2.681503	-10.674805	-24.862087	18000	1.9073487e-09	54.356926	-0.016534599	-8.9834175	1.2303177	0.00712335	0.1115	79.0	24.600409746170044
9	-17.9559	7.5786734	1.3182703	-27.612427	90.32258064516128	79.24	-17.5031	3.0334766	-7.63143	-25.254108	20000	8.34465e-09	54.027126	-0.016545163	-4.40802	1.2027096	0.015131434	0.188	57.0	28.05979585647583
10	-9.742564	9.859939	9.589967	-26.207386	91.66666666666666	85.13043	-15.194115	3.0610864	-7.5576906	-23.225954	22000	-1.4424324e-08	111.91222	-0.0070883813	-43.884514	1.147805	0.015406735	0.135	13.0	31.13700294494629
11	-9.134901	9.00637	9.203446	-25.421549	96.96969696969697	71.42857	-9.685655	3.6058521	-3.6305552	-24.925814	24000	-6.7949295e-09	58.82457	-0.010395846	-8.567509	1.0720673	0.01587844	0.195	7.0	34.556931495666504
