Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-9.458296	10.5163	3.3712258	-46.32408	194.49019	0.73520905	0.72215945	3.8631487	0.07323676	10000	-1.9550324e-08	58.768326	-0.013952199	-50.991837	1.3196744	0.006615481	0.0809	79.0	11.002214670181274
1	-7.182966	6.873255	3.2122533	-29.460136	183.62962	-3.6215882	3.2084918	-0.6839431	-18.438473	20000	5.722046e-09	6.86321	-0.010340926	-3.4710708	1.3148358	0.0060644834	0.0734	79.0	21.09989070892334
2	-6.572859	6.943074	6.678689	-27.553415	194.2745	-3.4873657	2.9703684	-0.44111475	-17.070147	30000	-1.707077e-08	5.4708657	-0.015102093	-2.0085056	1.3042082	0.010460848	0.1043	79.0	32.385064125061035
3	-4.685918	6.4129734	8.745849	-18.576384	179.6909	-2.576662	2.2080097	-0.39618778	-15.659729	40000	-8.773804e-09	5.5575166	-0.012039254	-1.42909	1.3396921	0.008680192	0.0899	79.0	41.58587026596069
4	-6.8308682	9.722853	5.6820273	-38.6467	230.60464	-3.027124	2.8835552	1.7060205	-21.06783	50000	-1.0490417e-09	9.825914	-0.018966263	-4.8562255	1.2996813	0.015074116	0.1513	78.0	52.2623553276062
5	-4.489373	7.7710156	8.450421	-31.736744	225.47728	-2.059293	2.7644506	0.6070218	-25.317478	60000	-1.2397766e-08	4.9237037	-0.011460216	-2.4795263	1.2945479	0.009176353	0.1073	79.0	61.14393377304077
6	-0.58286583	4.992769	9.129311	-9.7296505	221.88889	-0.7653518	1.6092486	3.6049998	-10.07989	70000	4.863739e-09	2.9457977	-0.014960714	-1.3856592	1.3118198	0.013151129	0.1901	79.0	69.79688215255737
7	3.882723	3.541274	10.830809	-5.161624	160.58064	1.033767	1.5505174	6.166424	-3.2948935	80000	1.5830993e-08	2.60494	-0.007665962	-1.714078	1.310349	0.016205724	0.398	11.0	79.12008500099182
8	5.445023	2.5982106	10.751667	-1.3389283	118.333336	2.8725915	1.8209977	8.935179	-1.2068932	90000	1.1062622e-08	1.2060405	-0.017554754	-0.49169534	1.2698147	0.015158911	0.2606	6.0	89.44080471992493
9	6.2797146	2.0010118	10.832527	0.45801902	91.58716	3.6936343	1.7624036	10.095791	-0.055589993	100000	-1.9931793e-08	0.900754	-0.015200191	-0.4676876	1.203034	0.019347055	0.3114	5.0	101.14074158668518
10	6.9087796	1.4789122	10.669161	3.455922	77.37209	4.7079873	1.6257654	10.468168	1.428146	110000	-1.6307832e-08	0.46008873	-0.017291049	-0.14234453	1.106443	0.016042942	0.1898	8.0	113.98220014572144
11	7.128216	1.2955819	10.213335	3.4905717	69.6014	5.0672297	1.390598	10.072207	2.7674563	120000	-1.4781952e-08	0.35653508	-0.018919503	-0.07382828	1.0117557	0.01502265	0.2493	12.0	127.79967737197876
