Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-23.145773	9.275605	-10.070703	-42.136326	95.83333333333334	172.60869	0.71272475	0.7407541	3.9109814	0.07577804	4000	-3.4153462e-08	759.26	-0.021648606	-595.6003	1.2512048	0.014383758	0.139	79.0	3.756495952606201
1	-25.985668	8.878406	-9.710033	-43.456696	100.0	152.15384	-14.4419985	6.0497313	-7.4660673	-34.846684	8000	-5.400181e-08	227.62297	-0.019719264	-117.98878	1.3210981	0.012482037	0.17325	79.0	7.480948448181152
2	-29.810827	12.534831	-12.79913	-64.76508	100.0	156.68	-32.614708	29.161547	-12.967723	-131.1187	12000	1.5497208e-09	493.24588	-0.014942976	-284.39093	1.1740625	0.015271616	0.10875	58.0	11.087657928466797
3	-20.655493	11.098724	3.3793695	-38.483173	100.0	133.06667	-22.488184	8.238315	-8.01781	-58.947174	16000	3.516674e-09	119.60007	-0.014789202	-33.08956	1.3255104	0.006327843	0.05	79.0	15.362319231033325
4	-21.06942	7.0252385	-7.6179175	-36.281826	100.0	117.411766	-17.536516	4.953819	-6.470995	-31.95767	20000	-6.6757204e-09	101.944115	-0.015731381	-50.227535	1.315059	0.017458595	0.07525	11.0	20.038004398345947
5	-21.471241	8.306264	-6.38259	-39.088123	100.0	155.88	-20.673079	7.180937	-4.719982	-50.669926	24000	-1.07288365e-08	96.45734	-0.0087669855	-26.793457	1.313009	0.016076898	0.14375	9.0	23.719106435775757
6	-17.362066	6.85824	-3.2531765	-30.91472	100.0	127.935486	-16.755796	1.8780737	-11.2164755	-23.460089	28000	-6.7949295e-09	55.60281	-0.017094838	-7.1976433	1.3124405	0.0119967135	0.1085	79.0	27.98152494430542
7	-14.065472	9.489579	6.9554043	-27.520588	97.14285714285714	116.32353	-15.617826	2.4170544	-9.59202	-26.48675	32000	-4.7683715e-09	87.563095	-0.013091518	-22.540413	1.273917	0.01406855	0.1525	79.0	32.08647322654724
8	-8.759491	10.775636	8.02803	-25.928722	92.6829268292683	98.25	-10.846447	3.262752	-4.226688	-22.184177	36000	-2.861023e-09	116.0229	-0.01962095	-26.782814	1.2408255	0.009973359	0.22375	79.0	37.40568566322327
9	-5.11197	9.607126	9.378977	-28.38465	92.15686274509804	79.18	-7.6225953	2.0761702	-4.1644444	-17.694075	40000	3.6478042e-08	82.21921	-0.0144412955	-18.179222	1.1395043	0.0055122273	0.0845	79.0	43.30369257926941
10	-1.86848	6.904926	7.925004	-15.391626	92.15686274509804	79.96	-3.7243834	2.5529618	0.56583786	-14.38097	44000	-5.00679e-09	42.423	-0.01649942	-8.758976	1.095157	0.010303605	0.104	79.0	48.884605884552
