Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-26.195456	8.498668	-13.429949	-42.15971	100.0	151.58333	0.53115577	0.51916635	3.5663326	0.06591609	2000	-2.7179718e-08	669.2334	-0.016176326	-541.2677	1.2741646	0.015620367	0.119	18.0	36.536505937576294
1	-37.23335	23.506557	-8.730315	-69.61364	100.0	265.33334	-62.3366	57.440456	-11.91049	-290.97952	4000	0.0156174945	8604.086	0.0	-3129.6772	1.1249186	0.01960069	0.0125	0.0	113.4962797164917
2	-20.880245	6.5578036	-13.96271	-30.150196	100.0	192.125	-63.256664	62.97239	-4.859938	-352.31448	6000	-0.0010860027	14157.48	0.0	-6182.209	1.1336406	0.017860059	0.0155	0.0	187.15978717803955
3	-23.737246	9.00925	-13.003338	-40.52708	92.85714285714286	153.0	-28.895567	17.684456	-6.69681	-74.93577	8000	0.0053999205	388.02036	-0.01934704	-226.73424	1.3266355	0.005820276	0.0985	79.0	257.5652813911438
4	-37.39529	9.687694	-18.94221	-46.229885	100.0	230.5	-95.23035	130.88571	-12.989265	-571.5791	10000	-0.0048079244	51311.035	0.0	-27487.566	1.1884497	0.10154229	0.0415	0.0	332.4787714481354
5	-18.039223	13.827473	-3.831981	-47.7475	90.0	220.55556	-94.8603	103.1613	26.091467	-464.63876	12000	0.012495022	10652.274	0.0	-10315.732	1.2777933	0.056677006	0.0675	0.0	390.05831956863403
6	-23.928293	14.186544	-0.06066255	-53.66622	100.0	162.08333	-33.909267	18.608995	-14.706726	-97.04287	14000	0.0107682515	261.37497	-0.015580244	-121.90854	1.3447307	0.015048249	0.182	25.0	431.89020323753357
7	-25.098253	7.9223747	-14.275733	-38.754803	100.0	123.84615	-27.301289	14.38131	-14.926361	-92.313866	16000	0.0034181403	928.7283	0.0	-507.32935	1.2555116	0.026450235	0.0105	0.0	475.01604080200195
8	-22.714323	8.531221	-10.689524	-42.443317	100.0	166.77777	-44.742382	43.454216	-15.30301	-211.70435	18000	-0.008411193	5704.79	0.0	-2838.5579	1.2335775	0.09727393	0.0245	0.0	555.5190434455872
9	-28.205235	17.915108	-9.03513	-66.68172	100.0	215.22223	-73.562485	54.873516	-10.988936	-228.19347	20000	0.006859315	1868.9307	0.0	-1251.648	1.1796212	0.11827353	0.039	0.0	615.1233534812927
