Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-28.427204	10.037134	-16.379126	-42.988766	100.0	196.0	0.7070322	0.55477357	2.8889647	0.08912313	2000	-0.0016640368	873.53265	-0.014444385	-682.2878	1.2845385	0.015254186	0.079	9.0	67.08314657211304
1	-20.066675	10.231896	-8.9040365	-46.119488	100.0	161.5	-17.061419	9.354907	-7.5765142	-54.064804	4000	7.7486035e-09	193.03981	-0.015769783	-100.81136	1.3125825	0.011240346	0.1105	79.0	162.21491122245789
2	-23.790022	9.931766	-9.375694	-40.419968	100.0	120.25	-17.468117	6.447165	-7.936903	-36.274757	6000	-0.00019963527	177.04768	-0.027718447	-105.15626	1.3629507	0.008795787	0.259	79.0	260.3364987373352
3	-19.81148	7.8735294	-6.64663	-31.74472	100.0	113.117645	-22.148277	2.712723	-14.278828	-30.244337	8000	0.00048203062	79.64406	-0.011773851	-33.615288	1.3421633	0.015418247	0.157	15.0	316.80710554122925
4	-17.273096	6.9324064	-7.621841	-28.953604	100.0	137.71428	-17.983883	4.2671113	-4.6228666	-24.98696	10000	2.2947788e-09	51.323906	-0.0132873	-17.342178	1.3461498	0.015375925	0.2665	11.0	373.8295888900757
5	-17.055416	5.5678	-8.598553	-27.227648	100.0	99.1	-14.732287	2.250026	-4.894591	-19.129623	12000	3.0994416e-09	42.498478	-0.011986819	-11.166882	1.3124968	0.015828783	0.145	28.0	414.33671164512634
6	-15.340797	5.8469353	-4.0163126	-25.755114	100.0	86.91304	-15.600336	2.2578037	-9.143122	-20.395224	14000	0.00016409565	36.644672	-0.016393008	-2.9744186	1.279832	0.009795338	0.169	79.0	454.80760884284973
7	-14.9023905	6.3569055	4.033165	-28.83401	96.0	81.041664	-14.932569	1.9853736	-9.047788	-19.774572	16000	3.8146974e-09	42.41058	-0.016886689	-5.2981224	1.2376853	0.0067207017	0.1485	79.0	493.67104268074036
8	-15.054662	7.546287	-2.5702434	-41.099163	100.0	77.48	-14.452869	1.6391168	-9.526112	-20.11222	18000	1.9073487e-09	54.92058	-0.01822789	-11.790371	1.2412841	0.0109243365	0.1195	79.0	532.8224430084229
9	-12.314189	9.8433695	5.136166	-38.576733	82.14285714285714	73.703705	-14.038485	1.7159624	-7.650829	-21.929882	20000	0.0003538486	75.71429	-0.024201935	-16.775925	1.2154286	0.0074820756	0.1325	79.0	571.8708364963531
10	-14.879448	8.549458	5.112236	-26.054693	92.0	80.375	-12.68259	2.7462957	-3.9651601	-19.533804	22000	-0.00037013472	57.02191	-0.006042307	-14.332508	1.1720278	0.01572992	0.012	7.0	612.4406185150146
11	-12.271958	12.004161	6.479668	-28.94034	92.3076923076923	79.16	-14.364091	4.4977226	-2.3706348	-23.391455	24000	0.0013354903	75.57484	0.0	-17.114132	1.1429662	0.021038642	0.0165	0.0	651.5001962184906
12	-9.588329	7.250314	5.3166847	-21.872133	96.29629629629629	75.80769	-14.243729	5.192206	-0.84984493	-26.627506	26000	-0.0014981866	39.99577	0.0	-20.004974	1.148909	0.019841354	0.013	0.0	690.5381894111633
13	-10.209917	11.531188	8.327783	-28.825634	85.71428571428571	74.03704	-9.743526	4.833087	-0.9970385	-19.721437	28000	0.013702635	57.03319	0.0	-21.994762	1.1303439	0.029734164	0.036	0.0	728.8310306072235
14	-12.2909155	10.14817	9.064955	-27.691536	85.18518518518519	76.07692	-14.766089	5.2784095	-1.9835393	-25.222584	30000	0.00028025985	44.43676	0.0	-7.5078163	1.1455889	0.017980134	0.0135	0.0	767.5911591053009
