Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-25.032679	12.2810755	-10.0	-50.083374	100.0	273.7143	2.6127353	3.2449052	9.864777	0.08469665	2000	0.007388023	1217.4135	0.0	-859.2323	1.0895662	0.049019396	0.024	0.0	55.70363974571228
1	-28.84044	6.247657	-19.896894	-42.26547	100.0	172.55556	-9.06157	10.516667	-0.014059097	-59.485718	4000	-0.00078556966	429.41888	-0.017780032	-204.85399	1.3068616	0.013449904	0.1125	79.0	95.62889695167542
2	-30.073868	10.720977	-10.285484	-48.50955	100.0	218.875	-15.743315	9.362685	-2.5595832	-43.764324	6000	0.0012828143	537.53796	-0.025086198	-331.71616	1.3451428	0.009961397	0.171	79.0	135.4079942703247
3	-22.446148	9.7634735	-12.673524	-43.277245	100.0	221.875	-26.016285	9.78802	-10.889901	-54.713226	8000	0.00057729485	155.72055	-0.020062737	-84.01347	1.2863071	0.013976787	0.116	79.0	174.63567638397217
4	-25.460537	14.4868	-10.693329	-59.865246	100.0	236.0	-36.433712	31.695862	-9.535839	-119.18449	10000	0.00016550368	827.7765	-0.015186211	-519.97974	1.2428707	0.01526279	0.0975	16.0	219.27832102775574
5	-22.361094	5.2967343	-12.460456	-31.053051	100.0	141.14285	-29.98461	23.359087	-7.5198154	-133.16554	12000	-1.2397766e-08	507.45618	-0.014752796	-472.3681	1.3008852	0.010992838	0.1195	79.0	266.2629044055939
6	-18.020584	7.1197534	-9.494842	-31.868584	100.0	137.42857	-19.409334	3.3773756	-8.690059	-32.958424	14000	-4.7683715e-09	48.443367	-0.020538555	-10.623306	1.3007652	0.007056121	0.219	79.0	302.1448423862457
7	-15.586434	8.817787	2.2278645	-28.8085	100.0	119.25	-15.899952	2.990027	-7.932453	-25.354622	16000	0.0038018345	59.670635	-0.022913096	-9.715408	1.3126082	0.0016322689	0.154	79.0	339.1693012714386
8	-15.303763	7.841571	3.9392934	-29.509375	95.45454545454545	93.09524	-14.4756	2.9971447	-6.6658683	-25.171669	18000	0.0038940338	39.634914	-0.009438641	-6.532696	1.2747114	0.016240323	0.1455	14.0	374.5785388946533
9	-15.753384	7.7668304	0.980277	-27.303085	100.0	86.90909	-14.930894	3.4788845	-6.322913	-24.408138	20000	-0.0005651684	57.978424	-0.004843735	-6.827015	1.2423778	0.016004806	0.052	9.0	410.0876932144165
10	-15.605309	7.7195425	-0.26053113	-29.943453	100.0	86.82609	-16.453222	2.0310676	-10.849823	-23.686146	22000	0.0015835459	51.409534	-0.0067528114	-2.3119965	1.1889985	0.015057589	0.011	11.0	446.48001861572266
11	-14.076751	9.946024	5.0042143	-27.60215	100.0	77.44	-15.51999	2.0296628	-9.574867	-23.858498	24000	0.014692545	55.771828	0.0	-9.141567	1.1547937	0.025182683	0.023	0.0	480.5432059764862
12	-16.36921	6.830483	-1.6589643	-29.343498	100.0	80.458336	-16.658716	2.9087427	-5.8851013	-25.432941	26000	0.0004242754	27.239481	-0.015941478	-4.0062237	1.1754671	0.009412307	0.086	79.0	514.8773834705353
13	-12.377384	10.8288	8.035405	-27.536837	95.83333333333334	83.695656	-17.708984	3.3688083	-7.875882	-25.53052	28000	0.0010810407	97.244255	-0.0038427236	-22.861534	1.1743176	0.01559408	0.013	11.0	549.3897204399109
14	-10.611667	11.321585	7.0593257	-28.50771	84.61538461538461	79.72	-12.921741	4.6689463	-2.7945108	-24.233318	30000	-0.0026374813	92.76274	0.0	-5.3253098	1.1546099	0.026751552	0.0245	0.0	584.8544511795044
15	-13.732555	10.448795	4.1824784	-30.104153	88.46153846153845	78.32	-14.072755	4.3121853	-4.076673	-24.587654	32000	0.0008090937	64.18339	-0.0075760754	-8.6408	1.1536663	0.016053904	0.108	10.0	617.9319033622742
16	-8.778273	12.082642	7.289482	-29.485601	89.28571428571429	72.296295	-13.603512	3.1340928	-6.6700573	-20.851221	34000	0.010831293	75.00291	0.0	-10.335655	1.0925002	0.036861513	0.052	0.0	651.3357684612274
17	-5.8357377	10.676812	6.7862635	-28.960917	96.42857142857143	71.42857	-13.214932	4.6842213	-2.282228	-24.574049	36000	-0.0010451293	70.80798	0.0	-12.35421	1.0986812	0.0491984	0.0615	0.0	684.0217797756195
18	-4.449133	9.50419	7.810944	-26.700455	88.88888888888889	76.76923	-11.508744	3.3440332	-2.2954972	-21.90426	38000	0.00016251206	103.591705	0.0	-12.878098	1.0901632	0.06007994	0.065	0.0	716.5415596961975
19	-7.087036	11.879307	6.7251344	-30.473206	89.28571428571429	73.111115	-11.894282	5.011697	0.731442	-24.91445	40000	0.008262472	61.98933	0.0	-11.066322	1.0961219	0.030878624	0.0505	0.0	748.9520983695984
20	-6.768935	10.778938	8.416795	-27.907112	88.88888888888889	74.73077	-12.421858	6.6119175	1.774535	-29.58089	42000	0.0039028034	47.11946	0.0	-5.92622	1.0809095	0.022337835	0.0405	0.0	783.0124781131744
21	-7.068113	11.813064	7.4170575	-27.521273	92.85714285714286	72.888885	-11.655187	8.054159	4.8450756	-29.482735	44000	-0.0014059229	34.05854	0.0	-4.2213764	1.0793452	0.044626895	0.055	0.0	817.7848517894745
22	-8.85603	12.722951	7.581861	-27.764551	96.29629629629629	75.0	-11.873886	6.585979	0.77962875	-27.412533	46000	0.0036428266	58.187283	0.0	-8.460655	1.0833336	0.03595434	0.0365	0.0	854.0659658908844
23	-10.590631	11.992749	8.132872	-28.174383	88.88888888888889	75.03846	-14.273773	8.496223	11.592721	-29.882254	48000	0.0033035902	50.428093	0.0	-7.265873	1.0996113	0.034428913	0.0355	0.0	890.145751953125
24	-8.743417	12.143215	6.7224455	-28.190992	88.88888888888889	74.42308	-13.135527	6.9134254	3.047815	-27.287905	50000	0.0018353319	45.81468	0.0	-6.431072	1.0912378	0.033323973	0.0485	0.0	928.7864534854889
25	-10.476182	12.075244	7.520886	-28.88982	92.85714285714286	71.25926	-14.081105	8.016401	3.054755	-30.33753	52000	0.0030903432	48.126125	0.0	-7.8087196	1.0960523	0.027341228	0.03	0.0	967.0575923919678
26	-12.546617	11.658591	7.6553926	-28.39007	96.29629629629629	76.0	-13.892743	6.5408626	4.799982	-31.550516	54000	0.0015024729	43.720196	0.0	-18.497984	1.0986025	0.019931931	0.042	0.0	1006.5893685817719
27	-8.455676	12.515195	8.395635	-27.620913	85.18518518518519	74.38461	-14.820082	8.991032	11.009265	-28.519962	56000	-0.009025479	100.47589	0.0	-44.901268	1.099145	0.04319464	0.0415	0.0	1045.7725801467896
28	-8.004422	12.590939	7.8465548	-29.370005	81.48148148148148	76.11539	-11.208723	8.685254	15.296878	-29.307777	58000	-0.0025967122	69.64672	0.0	-15.9413185	1.1115303	0.017912053	0.032	0.0	1086.285460472107
29	-11.76241	11.897786	4.7224293	-27.875925	96.29629629629629	75.69231	-12.70209	7.8616443	4.594619	-30.004032	60000	0.000531343	54.763733	0.0	-10.15715	1.0979896	0.030446567	0.041	0.0	1125.8478209972382
30	-7.98143	12.951233	10.724758	-28.359251	88.88888888888889	74.53846	-14.49494	7.8913927	4.426164	-30.754305	62000	-0.0018865671	66.55917	0.0	-15.874073	1.0872484	0.05065352	0.0455	0.0	1166.5307593345642
31	-10.267706	12.019428	6.4134088	-29.088844	96.29629629629629	75.65385	-12.550224	8.099073	6.027223	-29.351368	64000	0.014490983	67.13945	0.0	-32.922974	1.0938298	0.059547465	0.0575	0.0	1206.769100189209
32	-8.109638	12.307111	8.869204	-26.662731	85.18518518518519	74.69231	-15.1303005	8.627061	6.2745857	-31.468512	66000	-0.0004996457	99.97084	0.0	-43.920734	1.1061814	0.02755061	0.0315	0.0	1246.0580406188965
33	-10.762725	10.382019	7.302372	-27.361382	89.28571428571429	73.18519	-13.195945	7.112571	6.3710265	-27.71306	68000	0.0047003226	50.24427	0.0	-19.971512	1.0923038	0.03231298	0.0425	0.0	1286.4224755764008
