Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-23.630596	13.163468	-2.4794884	-41.993458	100.0	179.3	0.60123515	0.51789814	2.4229662	0.061194167	2000	1.6093255e-08	803.3007	-0.01750088	-589.7624	1.2861468	0.015120927	0.1225	13.0	2.959501028060913
1	-32.31572	20.132935	-12.510228	-75.1391	100.0	224.75	-24.486544	18.64001	-8.629295	-86.25915	4000	1.2874604e-08	509.8069	-0.025270903	-140.03714	1.3201157	0.007021557	0.1335	79.0	4.8861706256866455
2	-24.520674	9.69955	-12.656344	-41.12908	100.0	137.14285	-18.855934	8.579986	-5.8851724	-44.731373	6000	9.775162e-09	182.4359	-0.013522871	-59.123802	1.3499609	0.015707126	0.209	14.0	7.15007758140564
3	-27.419489	9.127839	-14.596526	-42.55272	100.0	163.0	-21.45428	6.267996	-9.468072	-39.458057	8000	3.3140182e-08	133.12779	-0.02015734	-40.33539	1.3297695	0.010773897	0.121	79.0	9.37199330329895
4	-25.810837	12.053859	2.948552	-45.169003	100.0	191.0	-27.4541	8.912815	-15.650622	-51.634457	10000	7.2717667e-09	169.9881	-0.013761192	-66.706055	1.2754112	0.015009838	0.2335	14.0	11.30350375175476
5	-20.624935	10.465282	-5.226696	-36.586674	100.0	183.5	-25.534449	8.290631	-12.298175	-46.181557	12000	-1.2397766e-08	162.77144	-0.011210317	-95.25942	1.3079953	0.015315854	0.1045	12.0	13.511315107345581
6	-16.294508	9.7738695	5.156575	-26.513945	100.0	145.0	-18.768011	6.4008393	-9.374386	-38.084465	14000	1.2397766e-08	128.70721	-0.02642291	-54.963585	1.2918718	0.010808432	0.181	79.0	15.927204132080078
7	-18.594814	5.6173215	-10.763398	-30.240192	100.0	119.75	-13.532549	2.0450833	-9.630251	-20.511215	16000	2.384186e-10	39.562485	-0.016436987	-15.427357	1.3071561	0.015181792	0.218	30.0	18.422767639160156
8	-12.5467	10.407506	6.710771	-27.969131	94.11764705882352	121.4375	-14.264195	2.262419	-8.160452	-20.062996	18000	2.8967857e-08	96.40487	-0.021894073	-17.584526	1.2767756	0.00884245	0.226	79.0	21.085500717163086
9	-7.1064997	12.05826	8.325249	-25.221107	88.88888888888889	115.64706	-11.314394	2.854157	-5.1640134	-17.20165	20000	-1.29342075e-08	164.58641	-0.016253922	-46.591522	1.2575192	0.015497457	0.1465	25.0	23.717463493347168
