Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-9.880174	3.3154852	-6.345379	-13.976258	100.0	179.75	0.6399924	0.52000326	2.526329	0.08082709	1000	1.1920929e-08	25.729137	-0.028304737	-24.690868	1.3446189	0.006356416	0.205	79.0	1.0592598915100098
1	-5.2367187	4.886357	-0.06675563	-14.996255	100.0	129.5	-3.3690991	3.0500565	0.08880251	-14.440603	2000	2.2411346e-08	12.632683	-0.02442454	-11.484361	1.3134282	0.015501178	0.076	27.0	2.04753041267395
2	-11.245275	5.641749	-3.32355	-16.029972	100.0	243.0	-3.9383037	2.6533434	-0.4939675	-15.147313	3000	-9.059906e-09	9.017838	-0.027195133	-8.648004	1.3404087	0.006586863	0.109	79.0	2.8694088459014893
3	-5.6923165	3.4922597	-0.01637824	-10.897801	100.0	152.33333	-3.222875	1.9334012	-1.3904979	-9.706256	4000	1.07288365e-08	3.7835224	-0.029472645	-2.2068272	1.3449285	0.015117748	0.242	74.0	3.907137155532837
4	-4.483576	2.8980992	-0.51326364	-7.889617	100.0	197.8	-2.9217098	1.0617969	-1.570673	-8.212612	5000	1.8119811e-08	2.8312216	-0.029151198	-1.7075822	1.3264294	0.010913483	0.123	79.0	4.903758764266968
5	-1.2980684	5.702848	10.192747	-7.417207	85.71428571428571	144.5	-1.8714722	1.0086296	-0.5919814	-5.901282	6000	1.9311905e-08	8.65931	-0.013547921	-2.5973716	1.3016211	0.015503082	0.237	36.0	5.895285367965698
6	-0.51649266	3.4491918	5.992075	-5.4839725	100.0	132.71428	-0.940219	0.91988444	0.48864213	-5.0999475	7000	-4.2915342e-09	2.8399212	-0.03426139	-1.736329	1.2911706	0.0051900633	0.205	79.0	7.023906707763672
7	-0.8162096	5.7028737	6.2087502	-10.127332	100.0	192.8	0.2993587	1.9453685	8.813662	-2.411523	8000	-2.7418137e-09	10.65359	-0.02155611	-9.646513	1.2855893	0.01510016	0.172	50.0	8.060391426086426
8	2.2035651	2.2408984	4.733823	-1.187206	100.0	154.8	-0.41763926	1.5710238	3.3211517	-4.643899	9000	2.2411346e-08	2.4462798	-0.014317659	-1.7918313	1.2864096	0.015947212	0.242	6.0	8.989609241485596
9	-1.2643862	3.2057061	4.318598	-5.2699127	100.0	114.5	1.3962224	1.653687	7.995137	-1.2581767	10000	8.5830685e-09	9.2657795	-0.020196985	-8.083812	1.2933878	0.01570645	0.077	18.0	10.20932912826538
10	-0.44294888	3.2171612	5.213712	-4.728777	100.0	93.1	-0.5059877	1.4262713	3.3575594	-2.982581	11000	5.2452087e-09	1.6998891	-0.016923936	-0.54026353	1.2923279	0.016691852	0.264	11.0	11.462933540344238
11	4.5522933	5.0192823	9.581029	-6.2333093	100.0	124.625	0.9679708	2.0313702	4.6162176	-2.4582486	12000	3.33786e-08	5.222439	-0.008683108	-4.147982	1.2547642	0.015012199	0.152	11.0	12.756410837173462
12	4.9811435	2.106621	7.20798	1.157806	100.0	121.42857	2.33602	1.6395485	9.027162	-0.90502775	13000	9.536744e-10	3.1365764	-0.014449026	-2.3870497	1.2786921	0.01549249	0.122	14.0	13.877180337905884
13	5.979985	3.7134862	13.028401	2.0274947	88.88888888888889	113.75	3.2610404	1.4724306	8.543255	0.91558146	14000	-4.4107438e-09	6.557736	-0.010422549	-5.726362	1.2512834	0.015464494	0.296	26.0	15.124018669128418
14	6.957982	3.0206318	11.598618	1.5482332	100.0	93.6	4.688486	2.613946	11.881875	0.24322128	15000	-1.1444092e-08	1.9324747	-0.02618277	-0.95430243	1.1978406	0.016335145	0.237	11.0	16.35645580291748
15	8.646369	2.0891178	11.102146	3.2403731	81.81818181818183	94.2	6.040952	2.5114093	13.50643	2.3341916	16000	-7.1525574e-10	4.1363206	-0.01926044	-3.548662	1.1931998	0.01670106	0.15	8.0	17.620964527130127
16	6.680325	2.6895163	10.552882	2.5298345	78.57142857142857	76.38461	5.133248	1.4780188	10.012306	2.6470633	17000	-1.9788741e-08	1.4902663	-0.02408062	-0.9585815	1.1617641	0.005966344	0.198	79.0	19.33294129371643
17	9.432824	1.5761211	12.518608	6.5055585	91.66666666666666	84.545456	5.901767	2.021297	10.582719	2.4726164	18000	1.66893e-08	0.6790951	-0.0202761	-0.56159765	1.1312283	0.015258113	0.274	19.0	20.864948749542236
18	8.152603	1.6890206	11.152657	4.7015247	92.85714285714286	72.30769	6.185978	2.0814128	11.950771	3.1311522	19000	-9.536744e-10	1.8321166	-0.023929233	-1.3238218	1.0719118	0.01507511	0.159	42.0	22.526286602020264
19	8.188252	1.8897486	12.662671	4.980153	93.33333333333333	68.42857	5.754958	1.7539524	11.798163	3.758221	20000	-1.1920929e-08	0.5733332	-0.019044342	-0.22703078	0.995645	0.015714195	0.286	13.0	24.165254592895508
20	8.656606	1.2095674	10.203411	6.396762	100.0	71.46154	6.361834	1.7604134	11.117126	3.8170638	21000	-6.6757204e-09	0.4541514	-0.02686609	-0.20901658	1.0036024	0.013789266	0.189	79.0	25.994096517562866
21	9.494923	1.1167054	11.263604	6.2269335	92.85714285714286	71.30769	6.571476	1.6576619	11.0599575	3.77082	22000	-1.0490417e-08	0.41777003	-0.017118718	-0.16874927	0.9774857	0.015414056	0.148	13.0	27.65706157684326
22	9.335296	1.602172	11.575544	6.1766777	73.33333333333333	67.21429	6.776943	1.6448433	11.172117	4.2736874	23000	1.0728836e-09	0.37291285	-0.009775605	-0.17102617	0.9344675	0.0154096065	0.132	13.0	29.296451330184937
23	9.866052	1.5773017	12.307738	7.142333	73.33333333333333	71.28571	7.1526346	1.8712528	12.201118	4.224197	24000	-7.629395e-09	0.4163031	-0.023624022	-0.2104806	0.94871426	0.0031048802	0.12	79.0	31.155646800994873
24	10.728409	1.3458378	13.721239	8.698561	50.0	73.53846	7.4774446	1.914943	12.406548	4.5625434	25000	3.0994416e-09	0.527772	-0.027849276	-0.22841385	0.93562067	0.004814596	0.19	79.0	32.851743936538696
25	10.497651	0.81663156	11.794746	9.041368	60.0	68.42857	7.4645147	1.7193025	12.439988	5.0247407	26000	4.053116e-09	0.19056427	-0.019796334	-0.09899608	0.84387916	0.0058365404	0.107	79.0	34.586673974990845
26	10.855939	1.6911043	13.049347	8.075314	61.53846153846154	79.583336	8.051367	1.9168468	12.4156475	5.1678514	27000	1.6689301e-09	3.5531766	-0.012255479	-1.5379107	0.8730875	0.015956162	0.109	18.0	36.12353253364563
27	10.349429	1.0009382	12.315377	8.157454	56.25	66.13333	7.4294963	1.7471831	11.615141	4.9165974	28000	4.768372e-10	0.32992473	-0.015801778	-0.2353751	0.8052474	0.001568352	0.057	79.0	37.970091581344604
28	10.933851	0.8773943	12.157146	8.990695	60.0	68.92857	7.711916	1.7010114	12.375077	5.098972	29000	2.4318695e-08	0.25627545	-0.015777357	-0.17532097	0.8323988	0.0040963534	0.114	79.0	39.9512574672699
29	11.238464	1.166445	12.829709	8.910043	64.28571428571429	72.92308	8.09071	1.847747	12.257699	5.2805653	30000	-1.8835069e-08	0.19793826	-0.009330798	-0.06614761	0.8378525	0.016032558	0.154	10.0	41.64988851547241
30	11.288521	0.94047666	12.703197	9.258892	13.333333333333334	69.42857	8.213226	1.8670877	12.486892	5.2195635	31000	-2.0980835e-08	0.20321044	-0.020282773	-0.07636204	0.81991583	0.015169428	0.165	47.0	43.54073429107666
31	10.703413	1.1467719	13.168095	8.591962	25.0	65.0	7.9714823	1.715622	12.542481	5.1895413	32000	-6.198883e-09	0.11161334	-0.022549938	-0.029147342	0.7139562	0.0051187496	0.148	79.0	45.51899552345276
32	11.062362	1.231519	13.463516	8.782266	20.0	66.92857	8.138735	1.751503	12.818976	5.3195105	33000	-9.059906e-09	0.14155108	-0.0087285675	-0.052759483	0.73428077	0.015137913	0.179	8.0	47.271456480026245
33	11.726167	0.9058895	13.658899	9.792222	28.57142857142857	72.61539	8.422912	1.9761072	13.103529	5.3905134	34000	-7.1525574e-10	0.24504592	-0.017093463	-0.14278382	0.78625125	0.011607592	0.089	79.0	49.0073299407959
34	11.290375	0.8913917	13.593133	9.921214	66.66666666666666	70.28571	8.245686	1.8923699	13.574739	5.355367	35000	8.106232e-09	0.07322598	-0.0084284255	-0.032444626	0.74108285	0.015546339	0.218	7.0	50.7480411529541
35	11.959022	0.7106003	13.156104	10.585801	14.285714285714285	71.23077	8.436188	1.9304943	12.658982	5.4150534	36000	-2.8133393e-08	0.10942726	-0.022845572	-0.071790054	0.77244943	0.012468947	0.144	79.0	52.46996545791626
36	11.987021	0.7346457	13.384488	10.842767	35.714285714285715	73.53846	8.617504	2.0081258	13.170791	5.572625	37000	-1.001358e-08	0.1320081	-0.02074277	-0.040210694	0.71823907	0.015055488	0.092	56.0	54.13748550415039
37	12.481937	0.90874976	13.696201	11.129968	46.15384615384615	79.0	8.908578	2.0957751	13.033959	5.5456777	38000	-4.2915342e-09	0.32322106	-0.009993591	-0.16171274	0.7269183	0.016785493	0.158	12.0	55.64383387565613
38	12.024767	1.1778507	13.434941	10.011464	7.142857142857142	72.15385	8.532142	1.9826119	13.292691	5.525754	39000	-5.4836273e-09	0.25670704	-0.023484617	-0.11525631	0.6711188	0.013559742	0.107	79.0	57.4106810092926
39	11.208893	0.8636007	13.02435	9.363717	12.5	65.666664	8.287912	1.7652034	13.238691	5.5629067	40000	-4.2915342e-09	0.0640703	-0.01803864	-0.01835572	0.59500784	0.0066189	0.095	79.0	59.65644335746765
40	11.121335	1.1260123	13.211951	9.530469	12.5	64.333336	8.230931	1.7330675	13.144165	5.4841084	41000	8.34465e-09	0.15750459	-0.015983002	-0.10069445	0.57492054	0.009413664	0.061	79.0	62.516523599624634
41	11.408613	0.83266455	12.608519	9.756572	6.666666666666667	66.0	8.516956	1.8477014	13.67633	5.6228023	42000	-2.3841857e-09	0.103142254	-0.012827184	-0.049326252	0.59964794	0.005528731	0.053	79.0	65.45719242095947
42	12.180738	1.0488563	13.755488	9.962513	20.0	70.0	8.795157	2.013445	13.847678	5.5599613	43000	-2.4557114e-08	0.058423378	-0.007977829	-0.02320024	0.60397875	0.020065196	0.184	5.0	67.55189561843872
43	12.096831	1.2443297	13.794287	9.569943	20.0	70.0	8.892867	2.0800235	13.8944645	5.5537915	44000	-1.1920929e-09	0.15683085	-0.021869652	-0.05340852	0.5942001	0.010879559	0.1	79.0	69.83690619468689
44	12.49188	0.8454439	13.827769	10.802862	40.0	71.28571	8.973773	2.052909	13.966811	5.588066	45000	-9.059906e-09	0.10746277	-0.020938022	-0.051740117	0.60926014	0.009619371	0.122	79.0	71.8068494796753
45	12.371416	0.89297545	14.122686	11.065575	40.0	71.35714	8.825061	1.9894173	13.626319	5.6538734	46000	1.66893e-08	0.11594681	-0.019214552	-0.059489563	0.5908908	0.015136753	0.107	56.0	73.66393399238586
46	11.75385	1.1074237	13.57216	9.540343	13.333333333333334	67.57143	8.869108	1.8910875	13.374958	5.761987	47000	5.4836273e-09	0.17162263	-0.020345747	-0.104817435	0.5770341	0.013649085	0.105	79.0	75.82949900627136
47	11.835842	0.90287405	13.080803	10.225244	25.0	66.13333	8.517256	1.8194531	13.239934	5.520255	48000	4.053116e-09	0.20626819	-0.015942218	-0.14669922	0.5286718	0.0127277775	0.069	79.0	78.37986946105957
48	12.198892	0.8881212	13.704046	10.27088	20.0	70.07143	8.937273	2.0180342	13.764584	5.5195794	49000	-5.722046e-09	0.12187325	-0.019953387	-0.041784525	0.5472214	0.0039153695	0.106	79.0	80.86591076850891
49	12.575026	0.86755854	13.739007	10.286405	14.285714285714285	73.0	9.13242	2.0351667	13.411969	5.6985664	50000	-4.2915342e-09	0.5506941	-0.010712881	-0.18012443	0.6037739	0.016643895	0.1	8.0	82.91119718551636
50	11.598434	0.6277301	12.955287	10.633398	12.5	65.4	8.549839	1.8289605	12.715553	5.65282	51000	7.152557e-09	0.09233898	-0.016485086	-0.05618378	0.496381	0.0055842893	0.045	79.0	85.11103010177612
51	11.070822	0.709687	12.294931	9.959361	12.5	63.333332	8.443491	1.6701891	12.6418915	5.638147	52000	-6.198883e-09	0.06725108	-0.018341197	-0.036947183	0.45577192	0.0075002373	0.098	79.0	87.52890133857727
52	11.734086	0.65738094	13.012921	11.0684395	18.75	65.0	8.5370655	1.7843862	12.709398	5.547251	53000	1.7166137e-08	0.057670258	-0.017701238	-0.030225875	0.4833714	0.0053931843	0.067	79.0	89.78481674194336
53	12.058751	0.8896688	14.099865	10.540053	18.75	66.53333	8.884055	1.8689975	13.178339	5.6128163	54000	-9.536743e-09	0.08160539	-0.022330524	-0.049213994	0.48570147	0.008829907	0.111	79.0	93.39542508125305
54	12.379256	1.0741273	13.985617	11.032871	33.33333333333333	86.36364	9.89451	2.529613	14.241361	5.926474	55000	2.0742416e-08	18.017515	-0.019601194	-12.34189	0.60282356	0.008807115	0.075	79.0	96.13004469871521
55	12.660716	1.126719	14.027954	10.417669	0.0	73.30769	8.379897	1.8096972	12.045517	5.2647715	56000	-1.525879e-08	1.49918	-0.012754373	-1.0281675	0.53607905	0.018633787	0.231	6.0	97.9581310749054
56	11.781378	0.88008213	13.183756	9.8886	31.25	65.6	8.673724	1.9027736	13.970958	5.8982654	57000	-1.6689301e-09	0.109083004	-0.013144509	-0.05754165	0.4167276	0.0048598545	0.027	79.0	99.97031855583191
57	11.822115	0.74457484	13.007929	10.635877	0.0	65.28571	8.976731	1.9090374	13.8888645	5.8597765	58000	4.7683715e-09	0.15337524	-0.018515123	-0.06928733	0.4718975	0.008015203	0.127	79.0	102.51038479804993
58	11.988765	1.1314434	13.884286	9.440588	13.333333333333334	67.78571	8.755936	1.8358096	13.219502	5.708757	59000	-1.7642975e-08	0.13506433	-0.022135958	-0.054844446	0.47909313	0.008609198	0.111	79.0	104.69535517692566
59	11.372313	0.5593407	12.123241	10.252874	31.25	63.933334	8.374706	1.6801705	12.328144	5.770655	60000	4.339218e-08	0.099602155	-0.014909893	-0.050346997	0.38815284	0.00042371987	0.042	79.0	106.84889078140259
60	11.600504	0.8438419	13.80784	10.2743225	25.0	64.8	8.616512	1.740356	12.897753	5.6863575	61000	4.768372e-10	0.06827672	-0.01899786	-0.026693381	0.44253317	0.007600751	0.099	79.0	109.12787318229675
61	12.072348	0.5654967	12.785471	10.686713	12.5	66.2	8.790406	1.8405557	13.741373	5.7869473	62000	2.384186e-10	0.06858679	-0.021854136	-0.039741933	0.47867784	0.0015775216	0.085	79.0	111.58291172981262
62	12.026618	0.8809601	13.731319	10.715055	20.0	66.85714	9.011892	1.875018	14.1252	6.0078635	63000	-2.3961068e-08	0.05691583	-0.02024055	-0.020773057	0.48357627	0.015044474	0.096	43.0	113.47052550315857
63	12.415042	0.7749904	13.936895	11.185105	20.0	68.78571	9.00247	1.9622717	14.070275	5.981369	64000	-1.1444092e-08	0.040839937	-0.016646229	-0.0147826765	0.49645764	0.004732067	0.081	79.0	115.4069242477417
64	12.9873295	0.61589694	13.9763975	11.5527315	35.714285714285715	72.38461	9.237843	2.0397503	14.034996	5.8460383	65000	-7.390976e-09	0.0571069	-0.022374285	-0.023246128	0.5027107	0.012796356	0.095	79.0	117.29650568962097
65	12.525958	0.4560942	13.568296	11.551179	33.33333333333333	68.35714	9.110637	1.9265071	13.528892	6.110037	66000	-1.9967556e-08	0.01982315	-0.01519902	-0.006077784	0.46123168	0.003681309	0.085	79.0	119.34535360336304
66	13.010256	0.4746595	13.797755	12.366689	18.181818181818183	93.9	9.029295	2.2440627	13.947551	3.9920096	67000	-2.360344e-08	7.228719	-0.020486074	-5.7920456	0.63764685	0.015012022	0.074	28.0	120.85311436653137
67	12.387435	0.704976	13.517036	10.988286	33.33333333333333	68.5	8.10747	2.4445784	13.418073	2.5052	68000	1.1920929e-09	3.4170008	-0.013805921	-3.3467538	0.4446052	0.005255809	0.05	79.0	122.82021641731262
68	12.175942	0.5818228	13.456807	11.348136	26.666666666666668	66.71429	8.995904	1.8745408	13.357262	5.556077	69000	-3.8146974e-09	0.15403473	-0.0136908	-0.09888244	0.46554083	0.0037091305	0.05	79.0	124.71687150001526
69	12.472002	0.5736215	13.695674	11.565064	40.0	68.35714	9.018031	1.9186215	14.500859	5.69942	70000	5.722046e-09	0.07248752	-0.017752608	-0.039650016	0.44329736	0.004664274	0.076	79.0	126.65376400947571
70	12.392111	0.6974429	13.435153	11.227394	26.666666666666668	69.42857	9.110416	1.9867239	14.474085	4.931448	71000	1.3113022e-08	0.12512273	-0.018785523	-0.07919726	0.4512347	0.012616007	0.1	79.0	128.59055423736572
71	12.708003	0.68138325	13.613046	11.409949	21.428571428571427	71.38461	9.129914	1.888733	13.628732	5.58665	72000	2.861023e-09	0.19744918	-0.024291588	-0.12341057	0.5020802	0.012040195	0.127	79.0	130.44050288200378
72	12.071202	0.65749216	13.2582655	10.776017	33.33333333333333	67.21429	8.942133	1.8803669	13.69217	5.5903077	73000	3.8146974e-09	0.076094866	-0.024028167	-0.03297858	0.45103684	0.007646917	0.084	79.0	132.37282967567444
73	12.382788	0.697366	13.302552	10.949131	53.333333333333336	68.42857	8.801164	1.928664	13.892629	5.349287	74000	4.0173532e-08	0.14862497	-0.005231696	-0.11069015	0.40378025	0.01598305	0.091	10.0	134.1214897632599
74	12.729368	0.7685382	13.932105	11.425291	21.428571428571427	71.23077	9.328138	2.000023	14.179041	5.9856234	75000	2.002716e-08	0.05375559	-0.017423593	-0.016640238	0.5124635	0.009564514	0.091	79.0	135.95168733596802
75	12.834574	0.6691595	14.073621	11.980667	35.714285714285715	73.53846	9.200494	2.015917	14.345374	5.8180075	76000	1.1444092e-08	0.14634152	-0.021510608	-0.1004397	0.4773636	0.009758301	0.067	79.0	137.7948408126831
76	13.049342	0.5347525	13.8824625	12.195357	21.428571428571427	73.30769	9.223528	2.0782063	14.133367	5.9129353	77000	-2.861023e-09	0.10868238	-0.016570682	-0.07581933	0.47020516	0.01584591	0.085	25.0	139.51088094711304
77	12.080154	0.6636857	12.986473	10.755199	26.666666666666668	66.5	9.096617	1.8858594	13.688838	5.733478	78000	-1.3351441e-08	0.085555226	-0.020126838	-0.048705928	0.42951593	0.011989213	0.071	79.0	141.4250204563141
78	12.535581	0.7164831	13.6194725	11.304748	66.66666666666666	70.42857	9.014322	1.971699	13.677476	5.757217	79000	1.7166137e-08	0.047871877	-0.017975012	-0.020541593	0.39903542	0.00053913664	0.063	79.0	143.37090229988098
79	12.097728	0.84589255	13.819476	10.155275	40.0	68.07143	9.019457	1.881458	14.142554	5.734424	80000	-2.014637e-08	0.13809241	-0.026276771	-0.05975847	0.43587983	0.011702585	0.083	79.0	145.3364863395691
80	12.282089	0.7233173	13.169126	10.775339	0.0	67.64286	8.969929	1.9165071	13.56412	5.6840734	81000	-3.8146974e-09	0.04148034	-0.01646951	-0.021251822	0.45332354	0.005514342	0.043	79.0	147.28239631652832
81	12.361869	0.8621963	13.6036215	10.808705	26.666666666666668	69.57143	8.978529	1.9892591	13.983745	5.7035165	82000	-4.2915342e-09	0.08129232	-0.02632295	-0.04226466	0.4457169	0.012175673	0.114	79.0	149.18424201011658
82	11.995647	0.7442884	13.156006	10.400529	31.25	65.8	8.760349	1.7512654	13.275516	5.766098	83000	-1.001358e-08	0.093394876	-0.018825002	-0.05712635	0.41868666	0.0061203823	0.079	79.0	151.24532079696655
83	12.369827	0.38933906	13.013581	11.69457	20.0	67.85714	9.042371	1.930186	13.538423	5.695982	84000	1.1920929e-08	0.04062853	-0.02485466	-0.01780231	0.43240216	0.007901927	0.076	79.0	153.1972324848175
84	12.518866	0.7109864	13.542963	11.0560665	26.666666666666668	69.14286	9.1323395	1.9531386	13.874631	5.9047985	85000	1.1920929e-08	0.033034217	-0.019194512	-0.0076189023	0.44067347	0.0010290239	0.06	79.0	155.1226270198822
85	12.469447	0.4994593	13.427428	11.45124	20.0	68.57143	9.060275	1.9208505	13.82459	5.9743795	86000	2.861023e-09	0.023322994	-0.016456889	-0.0077189086	0.43816307	0.006560647	0.053	79.0	157.05749702453613
86	12.687732	0.57645696	13.468737	11.679543	13.333333333333334	68.71429	9.130678	1.9369056	13.442547	6.0175815	87000	3.1471252e-08	0.030634593	-0.019949537	-0.019506082	0.41829497	-0.0008314032	0.086	79.0	158.97548699378967
87	12.815718	0.45477483	13.991841	12.052269	26.666666666666668	69.92857	9.324368	2.0079963	13.8291855	6.016333	88000	-1.859665e-08	0.020520791	-0.024979852	-0.010742198	0.44876444	0.015067045	0.156	59.0	160.98408365249634
88	12.589381	0.41281286	13.217855	11.799646	26.666666666666668	70.14286	9.278833	1.9984239	13.659428	6.0210195	89000	7.629395e-09	0.0635527	-0.009890459	-0.0339365	0.4031226	0.019430414	0.133	6.0	162.7624032497406
89	12.438945	0.55236024	13.665272	11.543949	26.666666666666668	68.71429	9.049462	1.9056709	13.431328	6.051934	90000	-3.671646e-08	0.026543442	-0.010514544	-0.008471023	0.38940907	0.018832352	0.138	4.0	164.52682757377625
90	11.982748	0.4950658	12.833143	11.051881	31.25	65.666664	8.970119	1.8190689	13.189846	6.0312166	91000	2.5272369e-08	0.04323257	-0.013084598	-0.03205632	0.36453748	0.007966684	0.044	79.0	167.52952361106873
91	12.1582155	0.6591649	12.953793	10.574504	40.0	67.0	8.921014	1.857857	13.389002	5.8401775	92000	1.0490417e-08	0.020867651	-0.01450488	-0.0061234273	0.36022028	0.0026814342	0.052	79.0	170.97185277938843
92	12.246214	0.7450338	13.509895	11.289868	6.666666666666667	67.0	9.015692	1.8603967	13.929497	5.687277	93000	-9.536743e-09	0.034821548	-0.008984999	-0.014070289	0.3728126	0.015742313	0.091	9.0	174.78460955619812
93	13.081415	0.38695174	13.74591	12.4995775	7.142857142857142	72.30769	9.437775	2.114092	13.9752245	5.95129	94000	-2.3841857e-09	0.041600388	-0.019431416	-0.024510728	0.46412742	0.011474211	0.09	79.0	177.979496717453
94	13.113627	0.440416	13.874617	12.372917	7.142857142857142	72.76923	9.395435	2.042986	13.834776	6.0914946	95000	1.1444092e-08	0.034588035	-0.010909665	-0.009678554	0.430323	0.016044026	0.083	10.0	182.3414843082428
95	12.563049	0.87785095	13.582342	10.802813	26.666666666666668	69.42857	9.16791	1.9862921	13.801566	5.857286	96000	1.1444092e-08	0.043387905	-0.024566866	-0.016190242	0.39736608	0.010362439	0.093	79.0	186.6407470703125
96	12.787642	0.4484266	13.49934	11.833691	20.0	70.21429	9.240215	2.0410273	13.826662	5.873745	97000	1.1444092e-08	0.036129683	-0.0042221528	-0.00924262	0.42523563	0.01567813	0.128	4.0	189.48548364639282
97	12.8928995	0.36514562	13.682883	12.195454	26.666666666666668	69.71429	9.298239	2.0047464	13.641467	6.071187	98000	1.6212464e-08	0.010126479	-0.019562632	-0.005423313	0.41250408	0.0029100366	0.064	79.0	192.60121989250183
98	12.508943	0.60961956	13.408514	11.145106	33.33333333333333	67.92857	9.242705	1.8770943	13.718092	6.06746	99000	2.026558e-08	0.024417816	-0.011953023	-0.011311506	0.43177438	0.016729116	0.149	8.0	196.20662832260132
99	12.885939	0.5626998	13.421585	11.465316	26.666666666666668	71.35714	9.384598	2.0544224	13.854171	5.9564586	100000	-6.437302e-09	0.038563933	-0.025836006	-0.014588315	0.42212662	0.015013119	0.088	41.0	198.85945677757263
